"","t","region","ed.visits","X","sine","cosine","distance","SE","SE2","pred","pred2","low","high"
"1",2046,"Region.7",143,29.0825560851451,-0.596104027155201,-0.802907210584979,5.12274258645308,0.15866020665182,1.01250830178068,5.23944870023393,188.566117288464,24.8891532638974,1428.62154498538
"2",2047,"Region.7",195,27.624372032466,-0.609827097705931,-0.792534485624165,4.84489847145594,0.164838117071028,1.01349474830387,4.9402810348787,139.809535395221,18.4173202220635,1061.32194867367
"3",2048,"Region.7",368,31.1234950948253,-0.623369710607276,-0.781927236958402,5.48626080754124,0.151935480565761,1.01147634191549,5.63281230721198,279.446904129281,36.9608640095122,2112.79076721103
"4",2049,"Region.7",775,33.0387295514939,-0.636727858382197,-0.771088603443223,5.83380044603894,0.147905890786446,1.01087890102095,6.00835910866641,406.815232704538,53.8714852127138,3072.10081376018
"5",2050,"Region.7",394,30.700739784075,-0.649897588139857,-0.760021792404663,5.39250497178086,0.153131356821687,1.01165666727504,5.53287436834782,252.869708104823,33.4335883469875,1912.54042531692
"6",2051,"Region.7",213,26.5771458991847,-0.66287500274534,-0.748730078690155,4.61998423197946,0.169903298644904,1.01433087840725,4.70005283064703,109.952981185822,14.4600702338643,836.0718776688
"7",2052,"Region.7",59,25.6915965295171,-0.675656261972871,-0.737216803699459,4.4478505526883,0.174558594027245,1.0151210286211,4.51496944411967,91.3747739430738,11.9978490378732,695.903847997398
"8",2053,"Region.7",41,28.0743984902909,-0.688237583642226,-0.725485374395866,4.88172651978796,0.162818251539392,1.01316819089149,4.98368998211595,146.0121711268,19.2469691259116,1107.68370737708
"9",2054,"Region.7",164,31.6502678482856,-0.700615244737904,-0.713539262298051,5.53676368265442,0.150597935943024,1.01127629177703,5.69101836994063,296.195103293749,39.1917312241568,2238.52165941368
"10",2055,"Region.7",100,28.4502564419188,-0.712785582510848,-0.70138200245278,4.93516365084618,0.161207587473737,1.01291060131638,5.04262341931214,154.875786668317,20.4258696319507,1174.32010133903
"11",2056,"Region.7",217,31.2531766694019,-0.72474499556231,-0.689017192388831,5.44669441347148,0.151591276380933,1.01142469570146,5.59514229349346,269.115940815305,35.5981226561806,2034.47216305191
"12",2057,"Region.7",1618,36.0067810572741,-0.736489944909559,-0.676448491052434,6.31988979168695,0.146432669860857,1.01066439870146,6.53785134000131,690.800686468188,91.5167982257789,5214.40432441285
