"","t","region","ed.visits","X","sine","cosine","distance","SE","SE2","pred","pred2","low","high"
"1",2046,"Region.6",815,35.4634929036029,-0.596104027155201,-0.802907210584979,6.30605476812651,0.146254266945574,1.01063856575919,6.05685135845329,427.028757379257,56.5753980300215,3223.19534600724
"2",2047,"Region.6",786,36.5121261982403,-0.609827097705931,-0.792534485624165,6.49308714206893,0.14677093226006,1.0107134641215,6.28383348268629,535.838860612681,70.9805967473344,4045.09538803615
"3",2048,"Region.6",1038,36.9089782376365,-0.623369710607276,-0.781927236958402,6.55914914267592,0.147159694899589,1.01076999154256,6.365014343201,581.153163853884,76.974512465396,4387.67312763702
"4",2049,"Region.6",942,37.7197741720378,-0.636727858382197,-0.771088603443223,6.70187629133234,0.148278507429883,1.01093348731043,6.53863035956894,691.339043388339,91.5388420009293,5221.27724652943
"5",2050,"Region.6",900,36.7522594747958,-0.649897588139857,-0.760021792404663,6.51472842758326,0.146994322572762,1.01074592795055,6.31462311823291,552.593758829154,73.1953037385385,4171.85046991145
"6",2051,"Region.6",685,36.7783182548241,-0.66287500274534,-0.748730078690155,6.51173960571403,0.147021127563865,1.01074982658923,6.31262705690288,551.491847902692,73.0487775570282,4163.56397019355
"7",2052,"Region.6",616,33.6448652734802,-0.675656261972871,-0.737216803699459,5.92274366895154,0.147124356513096,1.01076484717237,5.60425605853197,271.579810779775,35.9714786304648,2050.39093279623
"8",2053,"Region.6",560,33.7690761729117,-0.688237583642226,-0.725485374395866,5.9377754455596,0.146994436634601,1.01074594453875,5.62401989394556,277.000661409816,36.6908720032792,2091.23856240369
"9",2054,"Region.6",445,35.5009095906034,-0.700615244737904,-0.713539262298051,6.25084555034577,0.146262146615704,1.01063970609344,6.00306760304344,404.668253000383,53.6128185135359,3054.42615267536
"10",2055,"Region.6",696,37.991906409341,-0.712785582510848,-0.70138200245278,6.70461396213189,0.148752828204099,1.01100316710618,6.55173544382168,700.458726386225,92.7334370823404,5290.89013421296
"11",2056,"Region.6",736,38.2003494549687,-0.72474499556231,-0.689017192388831,6.73501216668474,0.149147094902216,1.01106125230758,6.59007469665635,727.835234726773,96.3466082680709,5498.31632303898
"12",2057,"Region.6",1015,38.2120634538612,-0.736489944909559,-0.676448491052434,6.72884816224517,0.149170573046576,1.01106471596186,6.58435696007137,723.685539315304,95.7966320349697,5467.00597598153
"13",2058,"Region.6",808,38.0934065155209,-0.74801695503312,-0.66367961772453,6.69843018855233,0.148942637341073,1.01103111189425,6.54941851665744,698.837693168745,92.5136584807288,5278.94074684273
"14",2059,"Region.6",757,37.7758500195953,-0.759322614905257,-0.650714350920158,6.63105245228375,0.148376300917586,1.01094783578283,6.46994284035562,645.446832399225,85.459892198609,4874.82025469924
"15",2060,"Region.6",795,35.7955174084289,-0.770403578999317,-0.637556527270361,6.2552490254349,0.146342204810333,1.01065129540745,6.01869474308387,411.041730367893,54.455951867633,3102.60491845803
"16",2061,"Region.6",781,34.6370485530091,-0.781256568279749,-0.624210040386847,6.03178623038712,0.146376704193611,1.01065629149112,5.75109779577321,314.535766858147,41.6701569860456,2374.18708708425
"17",2062,"Region.6",854,36.340491547025,-0.791878371172418,-0.610678839709809,6.33898313309187,0.146641626184618,1.01069469501431,6.12319071369434,456.318355383913,60.4490779392996,3444.65868725693
"18",2063,"Region.6",904,37.4869506662187,-0.802265844514959,-0.596966929339222,6.54282553627677,0.147919824774956,1.01088093985467,6.37070973459143,584.472502072398,77.3969872084065,4413.71322063123
"19",2064,"Region.6",1013,36.5235342382882,-0.812415914486887,-0.583078366849975,6.35534019412925,0.146787945199381,1.01071593479862,6.14652114649654,467.089620680837,61.8733328631055,3526.11866295411
"20",2065,"Region.6",629,35.2606401517117,-0.822325577519208,-0.569017262091143,6.11225877098256,0.146247368812914,1.01063756752097,5.85532728627562,349.089133441798,46.2495692884857,2634.90503721264
"21",2066,"Region.6",302,33.4325145287541,-0.831991901183194,-0.554787775969851,5.76430119487591,0.14737534316291,1.01080141065018,5.43772366468247,229.918216368433,30.4510611774285,1735.9784576974
"22",2067,"Region.6",335,33.5592200479713,-0.841412025058158,-0.540394119219972,5.7788028796456,0.147225341079307,1.01077955116629,5.45705244571073,234.405482213155,31.0467254843852,1769.78181223061
"23",2068,"Region.6",277,34.3060858420926,-0.850583161577889,-0.525840551156111,5.90825858338885,0.146556796763581,1.01068239060429,5.61496147258258,274.50280310757,36.3646333614634,2072.11738297809
"24",2069,"Region.6",290,35.1976972591573,-0.859502596855542,-0.511131378413201,6.06450776122815,0.146251074166818,1.01063810372207,5.80517834308444,332.014400536064,43.987351894011,2506.02860633515
"25",2070,"Region.6",228,35.3980531119916,-0.868167691486715,-0.496270953672112,6.0925209492636,0.14625706367363,1.01063897049067,5.84082448186724,344.062897375296,45.5835333649225,2596.974578574
"26",2071,"Region.6",329,35.3657816866591,-0.876575881330506,-0.481263674371594,6.07735112872886,0.146255072388298,1.01063868231891,5.82442521783671,338.466532631024,44.8421189640378,2554.73194304537
"27",2072,"Region.6",270,36.2963724923734,-0.884724678268261,-0.46611398140704,6.24069844857565,0.146616814377952,1.01069109536907,6.02322522691349,412.908173032344,54.6988691847721,3116.94120733985
"28",2073,"Region.6",234,36.1721541604019,-0.892611670939864,-0.450826357816336,6.20839877641546,0.146535590302973,1.01067931572059,5.98619321279052,397.89701391401,52.7115491950839,3003.55493434163
"29",2074,"Region.6",506,36.2463345085099,-0.900234525457296,-0.435405327453255,6.21285585038881,0.146584192842399,1.010686363612,5.99347633319836,400.805524435897,53.0961067300084,3025.55268760492
