"","t","region","ed.visits","X","sine","cosine","distance","SE","SE2","pred","pred2","low","high"
"1",2046,"Region.5",57,27.5707229477448,-0.596104027155201,-0.802907210584979,4.84238084349262,0.165085406218367,1.01353499759322,4.77940568444451,119.033585507171,15.6792109134413,903.680329125894
"2",2047,"Region.5",51,26.1110478233901,-0.609827097705931,-0.792534485624165,4.56426021685971,0.172313293414313,1.01473734093473,4.5080293386718,90.7428188307039,11.9240176592963,690.560799607863
"3",2048,"Region.5",71,26.0261940840702,-0.623369710607276,-0.781927236958402,4.54099233814735,0.172761727591693,1.01481358609375,4.48515351805543,88.6905653710245,11.6525652146008,675.045901135633
"4",2049,"Region.5",64,27.0680044444532,-0.636727858382197,-0.771088603443223,4.7265599336196,0.167467361814595,1.01392569613021,4.66590753442623,106.261977878657,13.9859903900007,807.351329996412
"5",2050,"Region.5",109,26.8759788898175,-0.649897588139857,-0.760021792404663,4.68322257533536,0.168407598573206,1.01408141648351,4.62345741074043,101.845546000078,13.4005342795928,774.037439376575
"6",2051,"Region.5",41,24.6713373610861,-0.66287500274534,-0.748730078690155,4.26656176076082,0.180308600527381,1.01612557856996,4.2169829187371,67.8285310744426,8.88826405982395,517.616218054592
"7",2052,"Region.5",23,23.5440031860186,-0.675656261972871,-0.737216803699459,4.04959032273404,0.187098743681227,1.01735241675984,4.005220213923,54.8839092693629,7.1743730669775,419.861564009339
"8",2053,"Region.5",15,25.296909641944,-0.688237583642226,-0.725485374395866,4.36665538176887,0.176735722316611,1.01549766890071,4.31418614647196,74.7527608825224,9.80792574858843,569.740779324701
"9",2054,"Region.5",31,27.2348147910387,-0.700615244737904,-0.713539262298051,4.71794043790237,0.166663879574772,1.01379329685835,4.65651730842184,105.268824157364,13.8589428125966,799.593842713734
"10",2055,"Region.5",21,23.9211150215957,-0.712785582510848,-0.70138200245278,4.09525747912431,0.184778672704432,1.01692829535145,4.04914496332668,57.3484010900259,7.50289069754368,438.342932099384
"11",2056,"Region.5",30,24.8006143492447,-0.72474499556231,-0.689017192388831,4.25009964789373,0.179557800862318,1.01599261997837,4.19992349465851,66.6812293755512,8.74024529184209,508.725579496608
"12",2057,"Region.5",92,28.633584332524,-0.736489944909559,-0.676448491052434,4.95256807224386,0.160447878723461,1.01278996923689,4.88468206997124,132.248412908065,17.4458558178922,1002.50987393608
"13",2058,"Region.5",257,28.4649671151538,-0.74801695503312,-0.66367961772453,4.91288521966914,0.161146094468143,1.01290081634992,4.84577829614688,127.202244494439,16.7764591628438,964.471158506383
"14",2059,"Region.5",270,27.1329211031735,-0.759322614905257,-0.650714350920158,4.65737557790119,0.16715292067962,1.0138738081693,4.59642323787057,99.1291195139782,13.0485317979074,753.079540886926
"15",2060,"Region.5",290,27.8965653844396,-0.770403578999317,-0.637556527270361,4.7904286678029,0.163604739190931,1.01329487844641,4.72594798682557,112.837416071645,14.8701854220363,856.228897244104
"16",2061,"Region.5",752,29.9288570883375,-0.781256568279749,-0.624210040386847,5.15867614133543,0.15558611953628,1.01203114605844,5.08480546267145,161.548508965153,21.3434130656013,1222.76229526409
"17",2062,"Region.5",845,30.0179532066065,-0.791878371172418,-0.610678839709809,5.1665006512605,0.155285657683434,1.01198499765667,5.0922183130189,162.750493447391,21.5042011356975,1231.74643643929
"18",2063,"Region.5",514,28.620951060581,-0.802265844514959,-0.596966929339222,4.89867113786376,0.160500105382182,1.01279824438419,4.83084350634279,125.316621450775,16.5311588885286,949.979110220426
"19",2064,"Region.5",130,23.9445988671668,-0.812415914486887,-0.583078366849975,4.02264079894417,0.18463445604644,1.01690210067615,3.97641977841999,53.3257739680038,6.9769759441171,407.574598517047
"20",2065,"Region.5",42,24.3906635567001,-0.822325577519208,-0.569017262091143,4.09647706285227,0.181956282915575,1.01641924858419,4.04819504567354,57.2939506972405,7.50340223116685,437.481116614395
"21",2066,"Region.5",45,26.3932431021758,-0.831991901183194,-0.554787775969851,4.45890421851327,0.170842392777015,1.01448860179392,4.40136948566223,81.5624908768449,10.7230140989999,620.388992928386
"22",2067,"Region.5",47,25.6415147483282,-0.841412025058158,-0.540394119219972,4.31050482271037,0.174830359802256,1.01516779633152,4.25644337447201,70.5585861874608,9.26373932377093,537.419492363993
"23",2068,"Region.5",18,23.3662957772511,-0.850583161577889,-0.525840551156111,3.87953032342063,0.188205252183756,1.01755649324721,3.83598129366731,46.3388774114845,6.05490269794808,354.636840074123
"24",2069,"Region.5",28,25.2005923698902,-0.859502596855542,-0.511131378413201,4.21059565811539,0.177274819033823,1.01559163124923,4.15857144700474,63.9800583807123,8.39291740829743,487.726456875707
"25",2070,"Region.5",44,28.309916219444,-0.868167691486715,-0.496270953672112,4.77806212151619,0.16180194494466,1.01300536493539,4.71167159493106,111.237949372385,14.6678916750375,843.603269966307
"26",2071,"Region.5",182,30.7609920589974,-0.876575881330506,-0.481263674371594,5.22341638286305,0.152958749334867,1.0116305545989,5.14570090896889,171.691782817575,22.7016997325738,1298.49608770837
"27",2072,"Region.5",177,32.864225533782,-0.884724678268261,-0.46611398140704,5.6042243036434,0.148183577170915,1.01091956779121,5.51679105280568,248.835255452483,32.9487036497546,1879.25403725448
"28",2073,"Region.5",227,33.0468294996298,-0.892611670939864,-0.450826357816336,5.62882326140983,0.147902323479648,1.01087837907964,5.54054630746906,254.817169963347,33.7435588194318,1924.27213903523
"29",2074,"Region.5",199,30.3809400519861,-0.900234525457296,-0.435405327453255,5.12514836978068,0.154111081165516,1.01180542859682,5.04918888763701,155.895964046517,20.605912113959,1179.44556259313
