"","t","region","ed.visits","X","sine","cosine","distance","SE","SE2","pred","pred2","low","high"
"1",2046,"Region.4",485,31.320649544185,-0.596104027155201,-0.802907210584979,5.53778560116289,0.15141448975407,1.01139821421015,5.20398407990576,181.99588554138,24.0753296805228,1375.78603464723
"2",2047,"Region.4",544,31.9989522888884,-0.609827097705931,-0.792534485624165,5.65614206380101,0.14980564659668,1.01115860860315,5.31255134707611,202.867153198593,26.8491491078492,1532.82629857607
"3",2048,"Region.4",378,31.8543877748188,-0.623369710607276,-0.781927236958402,5.62180112651611,0.150124616373643,1.01120591396675,5.28029674999399,196.428156758204,25.9944985671301,1484.31487023239
"4",2049,"Region.4",466,33.0305918670209,-0.636727858382197,-0.771088603443223,5.83229135396649,0.147918040185038,1.01088067872137,5.47381212092423,238.367147342589,31.5650584477618,1800.05676296388
"5",2050,"Region.4",569,34.0620561943206,-0.649897588139857,-0.760021792404663,6.01584395285288,0.146727564486841,1.01070716737354,5.64247873269525,282.161254702695,37.3773310108075,2130.03367287992
"6",2051,"Region.4",438,34.7680617995418,-0.66287500274534,-0.748730078690155,6.13894780107773,0.146323720686601,1.0106486190737,5.75539358061777,315.88985118362,41.8501902310674,2384.37143367471
"7",2052,"Region.4",573,34.7364124634192,-0.675656261972871,-0.737216803699459,6.12516552697557,0.146334896762084,1.01065023722867,5.74206806648032,311.708378517286,41.2960804879117,2352.81683128056
"8",2053,"Region.4",507,32.3802534175802,-0.688237583642226,-0.725485374395866,5.68022535043638,0.149029056293171,1.01104384653665,5.33113173502797,206.671739498026,27.3589589499271,1561.21466410014
"9",2054,"Region.4",286,30.5995472393957,-0.700615244737904,-0.713539262298051,5.34191290581578,0.153433718928366,1.0117024790442,5.01851825887689,151.187117572707,19.9876243751723,1143.58485485329
"10",2055,"Region.4",202,31.5764568215998,-0.712785582510848,-0.70138200245278,5.51490156345613,0.150775330476318,1.01130272435124,5.17740825787372,177.222899210808,23.4484128235565,1339.44912353008
"11",2056,"Region.4",213,32.4232350613603,-0.72474499556231,-0.689017192388831,5.66367577339791,0.148947866657756,1.01103188227765,5.31396185132588,203.153500079591,26.8938621247365,1534.60088414106
"12",2057,"Region.4",351,32.6094781728219,-0.736489944909559,-0.676448491052434,5.68987730255245,0.148607354672989,1.01098177325949,5.33747553904552,207.986991950364,27.5364888525266,1570.95514436262
"13",2058,"Region.4",254,33.8846945530153,-0.74801695503312,-0.66367961772453,5.91794602516403,0.146884024020731,1.01072989295485,5.54714046997721,256.503028094352,33.9768932766796,1936.42788014201
"14",2059,"Region.4",382,34.8255694499851,-0.759322614905257,-0.650714350920158,6.0839379710252,0.146308330914495,1.01064639102655,5.69955380606703,298.734077892173,39.5775098567041,2254.86771697361
"15",2060,"Region.4",462,35.0977275483043,-0.770403578999317,-0.637556527270361,6.12584745553608,0.146253735993339,1.01063848892273,5.73753553288655,310.298746834948,41.1102941073904,2342.12170887947
"16",2061,"Region.4",494,34.4606361914083,-0.781256568279749,-0.624210040386847,5.99907145786716,0.146461665363871,1.01066860019551,5.61995397217396,275.876684938485,36.5476457290355,2082.43085907401
"17",2062,"Region.4",513,34.8931163848419,-0.791878371172418,-0.610678839709809,6.0705747928136,0.146291312542065,1.01064392746668,5.68521579743683,294.481386522902,39.0142881752724,2222.75712474523
"18",2063,"Region.4",590,35.9516349875669,-0.802265844514959,-0.596966929339222,6.2581090758336,0.146408738779458,1.01066093166353,5.85747364882027,349.839209962681,46.3467784848202,2640.68996440385
"19",2064,"Region.4",654,35.9489509136909,-0.812415914486887,-0.583078366849975,6.24878664772589,0.146408051742498,1.01066083213659,5.84818995699077,346.606439787055,45.9185094934224,2616.28753692596
"20",2065,"Region.4",251,33.4968021392518,-0.822325577519208,-0.569017262091143,5.78516400950412,0.147297204937818,1.0107900210145,5.41995647774924,225.869291948147,29.9154908756199,1705.36854157838
"21",2066,"Region.4",197,31.8284215605511,-0.831991901183194,-0.554787775969851,5.46683033694158,0.150187189858294,1.01121520558066,5.1257007021539,168.292022930141,22.270663872433,1271.72701919213
"22",2067,"Region.4",211,31.5493122929838,-0.841412025058158,-0.540394119219972,5.4060757397001,0.150844381443318,1.01131302147902,5.06897418116365,159.011127041328,21.0383747298482,1201.82945914927
"23",2068,"Region.4",113,29.4203578427308,-0.850583161577889,-0.525840551156111,5.00222524965258,0.157387854028207,1.01230970389284,4.69584854284089,109.491677613766,14.4577287773621,829.205447915745
"24",2069,"Region.4",129,30.0595991634536,-0.859502596855542,-0.511131378413201,5.1116736805502,0.155148226124341,1.01196391836346,4.79607150872528,121.034001314888,15.99288078046,915.984410525379
"25",2070,"Region.4",178,30.1154331969312,-0.868167691486715,-0.496270953672112,5.11288603444048,0.154963761699933,1.01193565380423,4.79647807158534,121.08321924904,16.0002886703976,916.305092097242
"26",2071,"Region.4",169,29.8347856170381,-0.876575881330506,-0.481263674371594,5.05165612309295,0.155910529495657,1.01208107047193,4.73929843725435,114.353947062548,15.1066689148226,865.632607857922
