"","t","region","ed.visits","X","sine","cosine","distance","SE","SE2","pred","pred2","low","high"
"1",2046,"Region.1",33,22.3347675988042,-0.596104027155201,-0.802907210584979,3.87139963440474,0.194840203328528,1.01880454692404,3.83581947827839,46.3313796746554,6.03883060301823,355.465632946252
"2",2047,"Region.1",39,24.0959243090543,-0.609827097705931,-0.792534485624165,4.19056584095043,0.183720624960103,1.01673657750458,4.19814246082225,66.5625735461783,8.71172052511204,508.576484325801
"3",2048,"Region.1",73,26.4710322327824,-0.623369710607276,-0.781927236958402,4.62348530355669,0.170443966072875,1.01442158177488,4.68926344521202,108.773032996524,14.3022988296255,827.249720356507
"4",2049,"Region.1",61,23.6380824490874,-0.636727858382197,-0.771088603443223,4.09049839676726,0.186516116704273,1.01724542849326,4.08685569783674,59.5523464374367,7.78629269418132,455.477607315578
"5",2050,"Region.1",54,25.1725055427751,-0.649897588139857,-0.760021792404663,4.36732213311808,0.17743480663956,1.01561956982288,4.40128015044142,81.555204799169,10.6978310016761,621.738315813021
"6",2051,"Region.1",18,25.4213930820081,-0.66287500274534,-0.748730078690155,4.40565576791876,0.176042656486075,1.0153772781103,4.44571272221738,85.2606233279344,11.189302254455,649.671778003281
"7",2052,"Region.1",26,25.0702431522576,-0.675656261972871,-0.737216803699459,4.33262373860853,0.178013408210375,1.01572081474324,4.36407583748922,78.5767486908076,10.3050514597981,599.153285056893
"8",2053,"Region.1",11,22.8501677403402,-0.688237583642226,-0.725485374395866,3.91291957777162,0.19148550362934,1.01816830538972,3.88996919407168,48.9093798016756,6.38296410860879,374.767489191779
"9",2054,"Region.1",23,23.1959468972961,-0.700615244737904,-0.713539262298051,3.96895299063434,0.189280242942648,1.01775586972929,3.95447585269085,52.1683428805208,6.81389638705941,399.409654081061
"10",2055,"Region.1",0,22.688714186757,-0.712785582510848,-0.70138200245278,3.86671503119555,0.192527200097716,1.01836472973953,3.83980826201012,46.5165545940061,6.06830183616647,356.57254858372
"11",2056,"Region.1",12,23.1304924994449,-0.72474499556231,-0.689017192388831,3.94038407070287,0.189694471962054,1.01783298860518,3.92430298646107,50.6177844791234,6.61035268851759,387.598094429296
"12",2057,"Region.1",13,21.2657133428239,-0.736489944909559,-0.676448491052434,3.58623398319743,0.202032537412347,1.02020446292558,3.52445687663123,33.9353375353252,4.41076414862381,261.09016370684
"13",2058,"Region.1",44,25.6667332683665,-0.74801695503312,-0.66367961772453,4.3939670275165,0.174693410962148,1.01514422021385,4.44003599165184,84.7779929189226,11.1311507449596,645.693176567159
"14",2059,"Region.1",47,25.2085677700132,-0.759322614905257,-0.650714350920158,4.30051406904162,0.177230700317516,1.01558393111305,4.3353557836838,76.3521188960645,10.0160411367976,582.030962163423
"15",2060,"Region.1",6,22.7253436155821,-0.770403578999317,-0.637556527270361,3.83145197091362,0.192289135302844,1.01831974917288,3.80544279820303,44.9451473379366,5.8638319124495,344.495937023711
"16",2061,"Region.1",12,24.0509169231496,-0.781256568279749,-0.624210040386847,4.06864212305543,0.183990366616408,1.01678535345846,4.07511584637043,58.8572985978346,7.70250144779921,449.747607541764
"17",2062,"Region.1",18,24.4312909517717,-0.791878371172418,-0.610678839709809,4.13048263554867,0.181716160639816,1.01637629008044,4.14627734469828,63.1982963750355,8.27736569118698,482.523645048003
"18",2063,"Region.1",12,19.1483538363456,-0.802265844514959,-0.596966929339222,3.14202630554073,0.21711921220299,1.02329895549035,3.02836374812463,20.6633943952041,2.66916539430419,159.966058620004
"19",2064,"Region.1",62,24.7208079101021,-0.812415914486887,-0.583078366849975,4.16658480625254,0.180019265062585,1.01607427671095,4.18947406777537,65.9880765765908,8.64797780940379,503.519591082093
"20",2065,"Region.1",37,23.2974564510035,-0.822325577519208,-0.569017262091143,3.89374738191877,0.188638057407747,1.01763663294054,3.8817577143097,48.5094058557091,6.33750050390297,371.307655916509
"21",2066,"Region.1",5,24.6454534437899,-0.831991901183194,-0.554787775969851,4.13478554242978,0.18045776131726,1.01615205733179,4.15582825855199,63.8047895310079,8.36054941043192,486.935842041259
"22",2067,"Region.1",28,24.735653390026,-0.841412025058158,-0.540394119219972,4.14251745491737,0.179932799291948,1.01605896101606,4.16577050181372,64.4423162410854,8.44565898502171,491.709661718645
