"","t","region","ed.visits","X","sine","cosine","distance","SE","SE2","pred","pred2","low","high"
"1",2046,"Region.2",9,23.6377847124197,-0.596104027155201,-0.802907210584979,4.11303751099521,0.186518355051057,1.0172458389057,3.70433921183979,40.623195119684,5.31135793409652,310.70095486092
"2",2047,"Region.2",35,27.2747544486575,-0.609827097705931,-0.792534485624165,4.7800636740558,0.166473681759736,1.01376204639878,4.35899601922921,78.1786051924611,10.2930810462403,593.786669159783
"3",2048,"Region.2",0,24.5151092122281,-0.623369710607276,-0.781927236958402,4.2607693572175,0.181223629437083,1.01628834681224,3.84908727222822,46.9501909260352,6.1503597657522,358.405119691655
"4",2049,"Region.2",68,25.0557128766767,-0.636727858382197,-0.771088603443223,4.35339072775302,0.178096290347704,1.01573534379562,3.93987004649056,51.4119197069952,6.74228817331208,392.030927782204
"5",2050,"Region.2",35,26.8780059675135,-0.649897588139857,-0.760021792404663,4.68359848655328,0.168397586659071,1.01407975386189,4.26388017566716,71.0852723683504,9.35321998973905,540.254153460101
"6",2051,"Region.2",67,26.2472664828514,-0.66287500274534,-0.748730078690155,4.55880977704654,0.171599267752334,1.01461633571175,4.14123661489342,62.8805323929068,8.2647868665558,478.410564949407
"7",2052,"Region.2",35,25.8444441252903,-0.675656261972871,-0.737216803699459,4.47619535959733,0.173732001509277,1.01497921572238,4.05999219867444,57.9738588042486,7.61434346972377,441.399618761469
"8",2053,"Region.2",41,23.9453939956363,-0.688237583642226,-0.725485374395866,4.11602369969799,0.184631249568229,1.01690151849485,3.7062792195436,40.7020809259641,5.32533799357987,311.089999113854
"9",2054,"Region.2",26,26.1067938029527,-0.700615244737904,-0.713539262298051,4.50875470007711,0.17233519204095,1.01474105978609,4.09165928634253,59.8390995749246,7.86307040373773,455.38417616554
"10",2055,"Region.2",52,26.424870703748,-0.712785582510848,-0.70138200245278,4.55956619787777,0.170680155840374,1.01446129329694,4.14138900271467,62.8901153503814,8.26860998842337,478.335126982865
"11",2056,"Region.2",23,22.9832186904132,-0.72474499556231,-0.689017192388831,3.91307289411128,0.190632133332291,1.01800815824767,3.50660077788386,33.3347627161089,4.35177784405575,255.345388748904
"12",2057,"Region.2",18,22.6794859621962,-0.736489944909559,-0.676448491052434,3.84841090332934,0.192586612403473,1.01837596361906,3.44297178391431,31.279776919255,4.08050133329963,239.780449557449
"13",2058,"Region.2",46,26.6530930173874,-0.74801695503312,-0.66367961772453,4.57688241121886,0.169519103200162,1.01426659530411,4.15792903061177,63.9389697418066,8.40978442098037,486.123263926315
"14",2059,"Region.2",71,25.6307832398937,-0.759322614905257,-0.650714350920158,4.37881177406753,0.174889450287135,1.01517797445657,3.96333527508471,52.6325776552128,6.91006694711301,400.891663110352
"15",2060,"Region.2",16,24.1470407706905,-0.770403578999317,-0.637556527270361,4.09509845577206,0.18341109916448,1.0166806928907,3.68466817373824,39.8319029852334,5.21378869361282,304.304717482834
"16",2061,"Region.2",13,24.3359387105497,-0.781256568279749,-0.624210040386847,4.12149795953657,0.182281621661301,1.01647754013331,3.71042523448751,40.8711826686769,5.35199909762585,312.117685796579
"17",2062,"Region.2",27,21.8338469725858,-0.791878371172418,-0.610678839709809,3.64879990004594,0.198169359058376,1.01944646493556,3.24623680385642,25.693468197438,3.34458919368314,197.379788602911
"18",2063,"Region.2",17,24.3345759933724,-0.802265844514959,-0.596966929339222,4.10378474789398,0.182289467511307,1.01647894713346,3.69271665745413,40.1537829932221,5.25804225808229,306.640040062138
"19",2064,"Region.2",64,26.0367617960473,-0.812415914486887,-0.583078366849975,4.41062174127673,0.172704638415932,1.01480386879947,3.99376450681351,54.2587628634625,7.12889874809578,412.968882221794
"20",2065,"Region.2",47,23.8412431238781,-0.822325577519208,-0.569017262091143,3.99458984636425,0.18526451683225,1.01701668678399,3.58519958394322,36.0605541082772,4.71696795315575,275.677845495223
"21",2066,"Region.2",12,23.7780204117299,-0.831991901183194,-0.554787775969851,3.97392451170254,0.185651627945111,1.01708727597914,3.56474927010097,35.3305938574191,4.62083173514593,270.135537034109
"22",2067,"Region.2",29,25.4333204326072,-0.841412025058158,-0.540394119219972,4.2718962489293,0.175975204653667,1.01536558571428,3.8570913221267,47.3274905451388,6.21123749529892,360.619178222617
