"","seasonal","trend","remainder"
"1",-48.5564457751358,54.3513786197582,2.20506715537758
"2",-48.9077443645185,54.3459910373899,2.56175332712859
"3",-46.4702760671677,54.3406034550215,-7.87032738785383
"4",-44.9924642014293,54.3352158726532,-3.34275167122394
"5",-44.0146523356908,54.3298282902849,0.684824045405946
"6",-46.6618404699524,54.3244407079165,-7.66260023796416
"7",-43.8092706408413,54.3190531255482,-6.50978248470692
"8",-46.5817008117302,54.3136655431799,-7.73196473144968
"9",-45.1041309826191,54.3082779608115,-9.20414697819243
"10",-45.376561153508,54.3028903784432,-6.9263292249352
"11",-46.2739913243969,54.2975027960748,-6.02351147167796
"12",-43.6667712764676,54.2921152137065,-8.62534393723891
"13",-45.6845512285383,54.2867276313382,-6.60217640279986
"14",-43.827331180609,54.2813400489698,-3.45400886836082
"15",-45.9701111326797,54.2759524666015,-6.30584133392176
"16",-45.2378910847504,54.2705648842331,-3.03267379948272
"17",-46.1306710368211,54.2651773018648,-4.13450626504368
"18",-44.7734509888918,54.2597897194965,-7.48633873060463
"19",-44.9162309409625,54.2544021371281,-5.33817119616558
"20",-42.8090108930333,54.2490145547598,1.55999633827346
"21",-43.951790845104,54.2436269723915,-6.29183612728749
"22",-44.5984566388088,54.2382393900231,-4.63978275121429
"23",-45.1201224325137,54.2328518076548,-3.1127293751411
"24",-44.8917882262185,54.2274642252864,-9.3356759990679
"25",-44.4134540199234,54.2220766429181,-1.80862262299472
"26",-44.5601198136282,54.2166890605498,-7.65656924692152
"27",-44.8225320025494,54.2113014781814,-1.38876947563207
"28",-44.5849441914705,54.2059138958131,-5.62096970434263
"29",-45.5973563803916,54.2005263134447,-4.60316993305316
"30",-46.2347685693127,54.1951387310764,-5.96037016176372
"31",-43.8721807582338,54.1897511487081,-4.31757039047427
"32",-46.5065299458029,54.1843635663397,-7.67783362053685
"33",-44.390879133372,54.1789759839714,-3.78809685059944
"34",-45.775228320941,54.1735884016031,-6.39836008066204
"35",-44.9095775085101,54.1682008192347,-7.25862331072462
"36",-45.2939266960792,54.1628132368664,-6.86888654078722
"37",-46.0532758836483,54.157425654498,-6.10414977084979
"38",-44.1876250712173,54.1520380721297,0.035586999087613
"39",-44.9469742587864,54.1466504897614,-9.19967623097497
"40",-43.4563234463555,54.141262907393,-3.68493946103757
"41",-47.3406726339245,54.1358753250247,-4.79520269110016
"42",-45.4725948614993,54.1304877426564,-2.65789288115709
"43",-46.104517089074,54.125100160288,-8.02058307121401
"44",-46.8614393166487,54.1197125779197,-5.25827326127096
"45",-44.1183615442234,54.1143249955513,-3.9959634513279
"46",-46.0002837717982,54.108937413183,-8.10865364138483
"47",-45.7642635393682,54.1035498308147,-6.3392862914465
"48",-46.2782433069382,54.0981622484463,-3.81991894150818
"49",-45.7922230745081,54.092774666078,-4.30055159156986
"50",-45.1812028420781,54.0873870837097,-2.90618424163153
"51",-46.4451826096481,54.0819995013413,-1.63681689169321
"52",-46.5841623772181,54.076611918973,-3.49244954175487
"53",-47.4731421447881,54.0712243366046,-4.59808219181655
"54",-46.4871219123581,54.0658367542363,-5.57871484187822
"55",-48.376101679928,54.060449171868,-3.68434749193991
"56",-45.765081447498,54.0550615894996,-1.28998014200158
"57",-45.5287289924208,54.0468897210068,-4.51816072858599
"58",-48.2923765373436,54.038717852514,-1.74634131517041
"59",-45.4310240822664,54.0305459840213,-8.59952190175483
"60",-47.0696716271892,54.0223741155285,-4.95270248833925
