"","lags","Region.1","Region.2","Region.3","Region.4","Region.5","Region.6","Region.7","Region.8","Region.9","Region.10"
"1",-31,-0.0279469122474905,-0.0174196141501308,-0.00212216374916523,-0.0124949265699413,0.0132365697601259,0.0271627397781357,0.0195616331231541,-0.00950089588296698,-0.0510645901837208,0.0139766264772963
"2",-30,-0.0206099017095606,-0.0140861027705044,-0.00265443925186674,-0.015200298175251,0.00254611927999903,0.0215494456631865,0.0118992867096197,-0.0113694543866844,-0.0456155164966455,0.0123561587775724
"3",-29,-0.0199122696371998,-0.0164125437270237,-0.00100876667256434,-0.0109004883213833,-0.0114812472192634,0.0264375932158106,-0.0021710006544915,-0.0239161379940254,-0.0395735788884162,0.0144031128897105
"4",-28,-0.0163812201521979,-0.024317482794784,-0.00166073664400844,-0.000241096755563352,-0.0247212428542669,0.02692947685209,-0.0132278440658882,-0.0191086891628711,-0.0333760092924897,0.0178734170667416
"5",-27,-0.0163484620242896,-0.0182332428148498,0.00198664751318532,0.00625296713819554,-0.0362555987198788,0.0242619803531649,-0.0218169429943861,-0.0177895843965637,-0.0337300782597549,0.0177774385866801
"6",-26,-0.0246311230400371,-0.0101046205280797,0.00323884602653537,0.0134930093133864,-0.0441498693364318,0.016752033954869,-0.022275015399397,-0.017877930203157,-0.0361582000293164,0.0137994609096516
"7",-25,-0.0267943823063864,-0.00910653095183848,0.00652005801335481,0.0175326628526678,-0.0474406287227646,0.013782713107569,-0.0252104480909848,-0.016709560999017,-0.0337810051327044,0.00969623714573553
"8",-24,-0.0094677146943317,-0.00370521436216929,0.00747405622439161,0.0230569089457574,-0.0385609681566236,0.0156524375803998,-0.0193638545319226,-0.0143939557745916,-0.0327839605952151,0.00544726146001768
"9",-23,0.0147592016967531,0.00297935292622306,0.0185680764251605,0.0232686788346772,-0.0239304755186531,0.0170736250051596,-0.0134652459709647,-0.00975855562836156,-0.0364209885415476,0.00422842194355108
"10",-22,0.0189222502862339,0.00923024651532979,0.0168588375906327,0.0186229629477115,-0.0136875218117407,0.0202413559131071,-0.00910615440277632,-0.0153286214726165,-0.0385817009935057,0.0154498324560855
"11",-21,0.00593554327186005,0.00245422901978735,0.00233842998869876,0.0109261056909473,-0.00569009538691281,0.0209987049474626,-0.00243699438792293,-0.0249588199148685,-0.0287537443931866,0.0277245623214337
"12",-20,-0.0068971472198959,6.89269433563639e-05,-0.0133619645124065,0.00840219678479572,-0.00205864970454559,0.0197679914674081,0.000251016413044967,-0.0156542937129938,-0.0142589484550262,0.0297312140401395
"13",-19,-0.00623420355691062,-0.00384834896799957,-0.0198918003401573,0.0100206436326581,-0.000825322070513594,0.0185039616215516,0.00471546361365447,0.00685932297560447,-0.00108215492045683,0.0295730501251908
"14",-18,0.00220292679684098,0.00641451289300419,-0.00636800606247779,0.0126256020302987,0.00207528799052975,0.0180712072663332,0.00677150996474179,0.0215266885703203,0.00502598685312086,0.031129672221006
"15",-17,0.00223917939261365,0.0127943211421601,0.00949728162671716,0.0107912722557993,0.00714909602335108,0.0259884259478592,-0.000325776509330448,0.0129521815579084,-0.00149441607619867,0.0302671982295229
"16",-16,-0.00561517086109255,0.016659293089343,0.0189704866136253,0.00642183901272254,0.01436446603448,0.0328198273404895,-0.00823907989677292,-0.00158862580925859,-0.00457657095195249,0.0329025358010524
"17",-15,-0.00562499601336141,0.0135275309184638,0.0202117073790517,0.000310165303065553,0.0117454073360319,0.0355504092983723,-0.0156716042776657,-0.0166776038030041,-0.00154528609533157,0.0407715248751396
"18",-14,0.0117411802429084,0.017589013882315,0.0171390441513139,-0.00309337824245693,0.00630357444271892,0.029792433365911,-0.0159999492935445,-0.0217230608037068,0.0075570102675376,0.0421688745206796
"19",-13,0.0274453609210799,0.0260478866463004,0.0143967300779524,-0.00167726516183973,0.000215176805902847,0.0270407643919465,-0.0145527616974737,-0.0139550589167041,0.0177396924749339,0.0341142939164391
"20",-12,0.0241551348516434,0.0168798072873564,0.00646731960712432,-0.00203773163347713,-0.00546978873949293,0.0260641055453688,-0.013276029104798,0.00127761286976556,0.0228149120403244,0.0207510588598734
"21",-11,-2.38670769293634e-05,-0.0060232476896235,-0.00293291674410389,-0.00117001720625804,-0.00877392046767051,0.0314870439888073,-0.0111075254540798,-0.00917678834711988,0.0267768283953508,0.00146641538626382
"22",-10,-0.0278200341699769,-0.0161796979870869,-0.00880161754520805,0.00201004624415989,-0.0110660676618041,0.0414864466735691,-0.0137342595820427,-0.0142538763271319,0.0264433808460946,-0.0125850175257566
"23",-9,-0.0287000340745213,-0.0171027636316333,-0.0106294134456063,0.00612088203540433,-0.0117210877682165,0.0474630533233862,-0.0214403836585396,-0.0162145787401258,0.0279323926246021,-0.0220667694745096
"24",-8,-0.0065109828354451,-0.0208124889886507,-0.0139424725585533,0.0102207407348577,-0.0124555979678024,0.0579762332716386,-0.0305686428149137,-0.00831305818103879,0.0283469278087072,-0.0214487021479945
"25",-7,-0.001616319750989,-0.0180565645288373,-0.02016506097267,0.0123052876258709,-0.0096805726883528,0.0633582777168715,-0.0324612411625918,-0.00561676917319332,0.0315657804571729,-0.013719520228672
"26",-6,-0.007390790328546,-0.0209133241138851,-0.0249031514570631,0.0236109124538867,-0.00512358853114263,0.0646506370002265,-0.0275958386794844,-0.00454483406078078,0.0378072253469882,-0.00262111180741621
"27",-5,-0.0222628472217083,-0.0274300155429705,-0.0168943426780835,0.0364816439292117,0.00124318442068155,0.0695534897631011,-0.00835227817432072,0.00563339696402403,0.049273979391719,0.011340251337412
"28",-4,-0.0272627418380078,-0.0253699973905264,-0.00626536556212641,0.0570761125490284,0.0120810220338325,0.0817885492932811,0.0143969449740966,0.0162907902814042,0.0785384356897437,0.0273216634894723
"29",-3,-0.0105535251773365,-0.0123958800883083,0.0101980476382384,0.0936073451471826,0.0317002319289699,0.111206451568901,0.0390894957580811,0.0212387351255033,0.132310740288557,0.0367112188267773
"30",-2,0.0456661473996698,0.0223234020496875,0.0693105987214666,0.142533070656779,0.0711913331991192,0.145603179326371,0.0897905302473745,0.0656013132572317,0.221396050441972,0.0416130292995563
"31",-1,0.15879711799367,0.117075480874843,0.16799792553179,0.209858716033179,0.138958316770395,0.198387996826135,0.164750998461933,0.156373062920647,0.328825864448091,0.0503556388393461
"32",0,0.287021111775433,0.223847165867104,0.270104102963416,0.267837479995676,0.21503499146441,0.257325033344257,0.247955626929847,0.241120855693595,0.397399841162137,0.0534768339793946
"33",1,0.252478072123794,0.213794332178743,0.240906166265378,0.257234632212926,0.224424021978305,0.245184153756797,0.219692930207176,0.219693636840422,0.371047774550218,0.0402508003529397
"34",2,0.156655460731698,0.136105032210584,0.161749265564935,0.206457089665291,0.179666884505659,0.196172369182467,0.15350829837913,0.140739891196135,0.290311723708522,0.0191887598377174
"35",3,0.0769942596901888,0.0691198182401087,0.092552928405965,0.150477693468668,0.12698796691416,0.148840256449235,0.0970509400238526,0.0736820961949633,0.20358062284766,0.00586591437643819
"36",4,0.038112673394847,0.0319379861669525,0.0502577441118377,0.104221398410962,0.0897325981386687,0.118525706063639,0.0565480586759888,0.0343892850960843,0.127720812690781,0.00370327400615262
"37",5,0.026937929388333,0.00553335325256787,0.0225013976911639,0.0656211125929822,0.0548961676840033,0.100993806692952,0.0251787026740999,0.0158841687785372,0.0733678590187964,0.0042290543380987
"38",6,0.0105928623911417,-0.0145730619359274,-0.00359496523836753,0.0456345351048391,0.0175467184039468,0.0867469420719263,-0.00166524558178624,-0.00480030317169563,0.0399578334311157,0.00274196386047927
"39",7,-0.0124460467549838,-0.0386206957227811,-0.0281318523831388,0.0337680556924861,-0.0159248214811671,0.0668646478524468,-0.018762583976361,-0.0229936662199772,0.019304357316161,3.58164196909403e-05
