,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9,Region 10
2018-01-01,-15.837069484910343,-10.347318217433353,-7.526190882072612,0.2565650227159623,-15.160281887235046,-0.3636418481124028,-13.126441254855482,-9.710528928422088,15.798783428723725,-6.738495402866966
2018-01-02,-12.189955817802604,-5.388369804619788,-5.612808956947585,1.8831430355299053,-10.61385797289452,1.2980752437627474,-4.330759068947807,-1.6745015397174985,14.343217201893493,-4.513650563972741
2018-01-03,-5.170511054761927,-3.484294672290447,-2.2365470977309414,4.067687702774321,-9.743022978629114,9.192430762331012,-1.2635054830120234,-1.1966971617589992,14.299779566385023,-4.316342038813286
2018-01-04,-4.535367739468377,-5.003550149491259,-4.980319956694434,2.645090564692907,-12.728201486461526,10.064702807965107,-1.8808589366282153,-0.14281894623256403,15.886729982134373,-5.315686774377512
2018-01-05,-6.7074610245344966,-11.33021650350366,-9.039630059127612,4.140429348257493,-13.790227813347457,13.971358294223794,-2.6516929848043116,0.23216361574649738,16.154700639221748,-5.215089650591107
2018-01-06,-16.9388226983565,-13.775273379924387,-9.579505826629001,4.850136604890844,-10.553899287282873,15.278805849664401,-1.1969173842076375,3.9393319615102427,15.23467644847846,-6.416800206994532
2018-01-07,-11.360056954368487,-5.282568537444622,-3.429368889614403,7.585075408218152,-0.2192479226356062,15.799798247867214,5.7669693827498785,5.170500349477952,13.568006378774927,-8.779231152091674
2018-01-08,-2.739688459687192,1.4174891125681495,2.664410419252672,10.793769546783768,1.5763799422677107,15.688766226820789,8.650258769486552,5.0003797705591175,11.88586645413601,-10.143578217820735
2018-01-09,1.582564266318999,3.1962095475115118,7.458079025319944,16.27382122903527,2.1442801739231356,17.204810128798634,9.87429576976765,7.318562251474054,13.066109793292812,-11.427899382495685
2018-01-10,0.7550817628589436,4.958688407440112,8.876310270670569,19.024190531079554,7.626584017170497,18.037245047961214,12.843985861357012,4.40322521589426,11.425455729785375,-13.080479163320794
2018-01-11,8.410982091445465,12.556287613577835,16.176473486262328,20.844222148406086,7.074099273147994,15.329516736674307,5.657779608349779,-6.4037602485731195,13.729492849840483,-10.5691083757794
