"","t","region","ed.visits","X","sine","cosine","distance","SE","SE2","pred","pred2","low","high"
"1",1279,"Region.1",36,20.2330498986824,-0.0107513077635227,-0.999942203020442,4.01441903002967,0.130439736240902,0.700707094088777,3.76937077772621,43.3527777185497,10.6755554393323,176.052978844492
"2",1280,"Region.1",46,15.7961191702405,-0.0279502982402085,-0.999609314096404,3.6185727473926,0.133858392485762,0.701351535361985,3.37215952921176,29.1413908400695,7.16677998705556,118.494032414491
"3",1281,"Region.1",33,18.2813517944368,-0.0451410177739714,-0.998980624694158,3.84027994472938,0.132216348952703,0.70103999161683,3.5925352894706,36.326056346877,8.93928229925051,147.616142498052
"4",1282,"Region.1",34,23.904187340729,-0.0623183793543259,-0.998056320853012,4.34179897211321,0.129213307845524,0.700479825434055,4.09275680256959,59.9048100102597,14.7581747809928,243.159219593136
"5",1283,"Region.1",98,32.1863152677023,-0.0794772999236196,-0.996836676089344,5.0804445299182,0.12748905326347,0.700163813416373,4.83013915283819,125.228385327631,30.870823853852,507.992548757614
"6",1284,"Region.1",339,30.9580910112943,-0.0966127018812026,-0.99532205131566,4.97017355630195,0.127686424339016,0.700199778546255,4.71863965223742,112.015768575472,27.6117137838768,454.427874624741
"7",1285,"Region.1",41,25.7472911887477,-0.11371951458595,-0.993512894733801,4.50429598810939,0.128952954916862,0.700431846432993,4.25156860115314,70.2154660699695,17.2999724373752,284.983787880015
"8",1286,"Region.1",12,25.3307323853775,-0.130792675856757,-0.991409741702304,4.46607258562232,0.129214739599067,0.700480089542449,4.21218711303791,67.5040173928082,16.6303099985315,274.005256941748
"9",1287,"Region.1",61,24.747611990262,-0.14782713347053,-0.989013214577989,4.4127918022409,0.129532320757961,0.700538741995534,4.15778398398808,63.9296962826813,15.7478917630376,259.527188038505
"10",1288,"Region.1",68,26.7588727630902,-0.164817846657198,-0.986324022531787,4.5908460093604,0.128875418596229,0.700417575760414,4.33475191751905,76.3060263531201,18.8011260815752,309.69472958905
"11",1289,"Region.1",16,26.3100642156251,-0.181759787591374,-0.983342961338891,4.54916645237626,0.129060806001969,0.700451710370972,4.29202248047208,73.1141910899628,18.013456460404,296.760643938055
"12",1290,"Region.1",11,23.7646119841711,-0.19864794288017,-0.980070913143267,4.32018643681085,0.130097211663143,0.700643412441926,4.06202928904596,58.0920771636783,14.3069075223963,235.878328276601
"13",1291,"Region.1",62,30.140767351133,-0.21547731504673,-0.976508846196619,4.88719708275812,0.128153693727029,0.700285139162344,4.62806376314967,102.315764641207,25.2163724720569,415.147567546262
"14",1292,"Region.1",173,30.8231211651024,-0.232242924009068,-0.972657814571866,4.94589090560428,0.128035065763945,0.700263439700317,4.68581870703437,108.398982999095,26.716779872003,439.811218699731
"15",1293,"Region.1",226,32.6593609461524,-0.248939808553766,-0.968518957851221,5.10736976254596,0.127863474108328,0.70023208647333,4.84639625572608,127.280874632542,31.372511600834,516.389036789587
"16",1294,"Region.1",219,29.4398225871052,-0.265563027804056,-0.964093500788975,4.81747162900254,0.128109088606158,0.700276977701854,4.55563465135581,95.1671340244484,23.454929732952,386.135601408491
"17",1295,"Region.1",50,26.2086369363143,-0.282107662681918,-0.959382752949075,4.52634550251831,0.128874542854024,0.700417414626147,4.26368314698274,71.0712679103391,17.5113338125848,288.448908372309
"18",1296,"Region.1",52,23.524141661788,-0.298568817363719,-0.954388108317591,4.28381936248148,0.129877122004166,0.700602579024533,4.02036996623767,55.7217171678675,13.7242564105278,226.235190545847
"19",1297,"Region.1",114,30.8954424172066,-0.314941620728952,-0.949111044890228,4.93850551870133,0.127539141768816,0.700172935494416,4.67430765182791,107.15835051505,26.4157858638249,434.698863183607
"20",1298,"Region.1",44,26.4713045275532,-0.331221227801684,-0.943553124234955,4.5403574112587,0.128371396547182,0.700325011953176,4.27544986531879,71.9124829660436,17.7218765806528,291.809119807729
"21",1299,"Region.1",23,23.6221353643727,-0.347402821184276,-0.93771599102991,4.2825776784277,0.129355680003367,0.700506101946925,4.01699945498987,55.5342226471021,13.6807160149116,225.430443966264
"22",1300,"Region.1",28,23.6838532628119,-0.363481612482906,-0.931601372576719,4.28438736005462,0.12912275299667,0.700463126978987,4.01817765915171,55.5996918598254,13.6980214842069,225.676805841754
"23",1301,"Region.1",74,24.8094923321197,-0.379452843724542,-0.925211078289359,4.38096065382706,0.128390299373854,0.700328477137015,4.11415886235624,61.2007143818526,15.0819989186471,248.34423215733
"24",1302,"Region.1",37,25.6963481769964,-0.395311788764914,-0.918546999158717,4.45604278607641,0.127787393177119,0.700218197971708,4.18868846614399,65.9362565935769,16.2525865789897,267.501416617235
"25",1303,"Region.1",107,29.8862301152433,-0.411053754687035,-0.911611107193024,4.8257130421529,0.126385322562686,0.699963682397177,4.55784591936724,95.3778069049126,23.5215860433527,386.747986858719
"26",1304,"Region.1",133,28.2615738621892,-0.426674083189923,-0.904405454834301,4.67630317049598,0.126426297269853,0.699971081943467,4.40796312221206,82.102061208251,20.2472900179943,332.921020474973
"27",1305,"Region.1",27,23.265864699202,-0.442168151967071,-0.896932174351007,4.22587594907699,0.127975734555976,0.700252594105073,3.95710299259605,52.3055766030542,12.8918819153993,212.216754833131
"28",1306,"Region.1",17,24.0591414250613,-0.457531376074251,-0.889193477207071,4.29189275616572,0.127259996532972,0.700122141939043,4.0227270368935,55.8532121028426,13.7698683632138,226.551279933734
