coords,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9,Region 10
"(-169.25, 56.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002479077604955991
"(-169.25, 63.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38188068861651076
"(-168.75, 52.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07328616351425879
"(-168.75, 53.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25942296284539856
"(-168.75, 63.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1693531284145541
"(-168.75, 65.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005034935420002157
"(-168.25, -14.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3339482000025796e-05,0.0
"(-168.25, 24.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6311877218087673e-05,0.0
"(-168.25, 25.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75372231631253e-05,0.0
"(-168.25, 52.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015247244239999674
"(-168.25, 53.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45498508524956405
"(-168.25, 53.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047424918516270696
"(-168.25, 64.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002997810182000026
"(-168.25, 65.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05383926384089799
"(-167.75, 24.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22022893316409e-05,0.0
"(-167.75, 25.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.256047028707934e-05,0.0
"(-167.75, 53.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23026958965918357
"(-167.75, 53.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02520691091664779
"(-167.75, 65.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03214265104836388
"(-167.75, 65.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.507894195685997
"(-167.25, 53.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17791454033500584
"(-167.25, 53.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15231633023531443
"(-167.25, 59.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061708714501987555
"(-167.25, 60.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28917614493019883
"(-167.25, 65.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20597420977395176
"(-167.25, 65.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8172881490343576
"(-166.75, 53.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05292026061903532
"(-166.75, 53.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7881163658358913
"(-166.75, 54.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005171255217800434
"(-166.75, 59.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1919321607335107
"(-166.75, 60.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5641108849019176
"(-166.75, 64.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03283812011568157
"(-166.75, 65.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45845289672376766
"(-166.75, 65.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994594701898177
"(-166.75, 66.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14036095284485375
"(-166.75, 68.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05058717471828914
"(-166.25, 23.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005326500960001564,0.0
"(-166.25, 53.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26343301907619654
