"","t","region","ed.visits","X","sine","cosine","distance","SE","SE2","pred","pred2","low","high"
"1",2046,"Region.2",9,23.6377847124197,-0.596104027155201,-0.802907210584979,4.59067755985796,0.105496629973939,0.728961022766288,4.0002558722657,54.6121219729359,12.7092976842733,234.669447555502
"2",2047,"Region.2",35,27.2747544486575,-0.609827097705931,-0.792534485624165,4.80155980125305,0.113500557815653,0.730162317845203,4.1427160318936,62.9736277679699,14.620013770315,271.249935640341
"3",2048,"Region.2",0,24.5151092122281,-0.623369710607276,-0.781927236958402,4.62479908470005,0.107054497634812,0.729188109640069,4.01787234674563,55.5827191752439,12.9293009543319,238.948623891295
"4",2049,"Region.2",68,25.0557128766767,-0.636727858382197,-0.771088603443223,4.64758718166023,0.108137597962571,0.729347910033154,4.03049010113628,56.2884915416731,13.0892892473262,242.06007065542
"5",2050,"Region.2",35,26.8780059675135,-0.649897588139857,-0.760021792404663,4.74769414038875,0.112435148904532,0.72999746334203,4.09631437512792,60.1183052557052,13.961722087699,258.865676033078
"6",2051,"Region.2",67,26.2472664828514,-0.66287500274534,-0.748730078690155,4.69896870171686,0.110834474946127,0.729752639332807,4.05945499851405,57.9427236016674,13.4630610932312,249.375620828698
"7",2052,"Region.2",35,25.8444441252903,-0.675656261972871,-0.737216803699459,4.6637575983298,0.109862068370285,0.729605583752764,4.03182216667874,56.3635214629847,13.0999838734659,242.507668894391
"8",2053,"Region.2",41,23.9453939956363,-0.688237583642226,-0.725485374395866,4.53765926869528,0.105914823761132,0.729021662002554,3.94145054710081,51.4932405243388,11.9820203626351,221.294384373277
"9",2054,"Region.2",26,26.1067938029527,-0.700615244737904,-0.713539262298051,4.65715893700722,0.110470423523303,0.729697436099396,4.02028793745254,55.7171465705658,12.9473750046335,239.770642377696
"10",2055,"Region.2",52,26.424870703748,-0.712785582510848,-0.70138200245278,4.66475985430848,0.111247969203501,0.729815555074375,4.02190489412372,55.8073116592878,12.9652640347105,240.215396022702
"11",2056,"Region.2",23,22.9832186904132,-0.72474499556231,-0.689017192388831,4.44441842943693,0.104269203264745,0.72878439920602,3.86631105104375,47.7658548732249,11.1199662376104,205.178400996681
"12",2057,"Region.2",18,22.6794859621962,-0.736489944909559,-0.676448491052434,4.4138219539887,0.103803263856026,0.728717881874583,3.84142868021355,46.5919919693722,10.8481321865746,200.109445417764
"13",2058,"Region.2",46,26.6530930173874,-0.74801695503312,-0.66367961772453,4.64197109811538,0.111813657991005,0.729901998825832,3.99482260596929,54.3162043987024,12.6166656207737,233.837540675084
"14",2059,"Region.2",71,25.6307832398937,-0.759322614905257,-0.650714350920158,4.56733196992513,0.109301953208803,0.729521453249919,3.93941612700625,51.3885881306434,11.9457219743763,221.065499073678
"15",2060,"Region.2",16,24.1470407706905,-0.770403578999317,-0.637556527270361,4.46449183782314,0.106167241079409,0.729058376849912,3.864489548195,47.678928424921,11.093649134081,204.917262865738
"16",2061,"Region.2",13,24.3359387105497,-0.781256568279749,-0.624210040386847,4.4626823140131,0.106513971442096,0.729108949258602,3.859126299382,47.4238989731575,11.0331943930952,203.841799000998
"17",2062,"Region.2",27,21.8338469725858,-0.791878371172418,-0.610678839709809,4.29766980337015,0.102582112957345,0.728544935934228,3.74118548245653,42.1479261870836,9.81680399453404,180.95988092061
"18",2063,"Region.2",17,24.3345759933724,-0.802265844514959,-0.596966929339222,4.43535328112411,0.106481278191693,0.729104173888719,3.83182290320512,46.1465823616794,10.7361285664994,198.349623933164
"19",2064,"Region.2",64,26.0367617960473,-0.812415914486887,-0.583078366849975,4.52443801742533,0.110234495803825,0.729661755775742,3.88888452559008,48.8563580996329,11.3538967845485,210.231233562732
"20",2065,"Region.2",47,23.8412431238781,-0.822325577519208,-0.569017262091143,4.37725993695995,0.105515791712661,0.728963796136245,3.78301059913285,43.9481530401325,10.2275290056294,188.847194134166
"21",2066,"Region.2",12,23.7780204117299,-0.831991901183194,-0.554787775969851,4.3589670187146,0.105383927041344,0.728944720712943,3.76590708577505,43.2028768064621,10.0544733442002,185.637626204559
"22",2067,"Region.2",29,25.4333204326072,-0.841412025058158,-0.540394119219972,4.44450770475636,0.108783075504819,0.729443891805876,3.82030671714999,45.6181980589893,10.6059899754607,196.211763254922
"23",2068,"Region.2",26,23.3363109544877,-0.850583161577889,-0.525840551156111,4.30260273624023,0.104575862698589,0.728828337014807,3.71785265540079,41.1758803036148,9.58496745776844,176.88668493115
"24",2069,"Region.2",10,21.7204179402426,-0.859502596855542,-0.511131378413201,4.18960959622777,0.102243276029048,0.728497303543237,3.63525920853015,37.9116786541267,8.83096770471245,162.75627161526
