,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9,Region 10
2017-01-01,3.468633846261374,2.600461640070281,6.462785087620087,18.555470720608085,2.2941496302833206,19.82106039583177,5.362933581967827,-1.5804011095051331,8.536677099988156,-0.45082613262945753
2017-01-02,2.6212930339940264,2.998787132868767,6.381938834561313,22.955157493549564,6.366843600687595,20.068151828086055,9.287636174316058,-1.523892579443701,6.637228741898046,-2.211464532657011
2017-01-03,4.42405085478528,4.232352683022916,7.189474496998113,22.12745203292235,5.490709374920328,17.03568835333365,4.638982927842087,-4.426964496599083,9.65231110135799,-4.023997904566422
2017-01-04,5.001802218667023,4.582526722145326,8.20738939164753,16.406916159468594,-2.8709000116170142,8.215785802424811,-6.269261053663196,-4.3881660699130025,10.175370521608121,-4.46613559917505
2017-01-05,0.2100228377672369,-1.9882327392657315,0.5402346805690428,12.380148842835577,-9.61414449966886,8.342709984096851,-9.26785193176258,-7.605503776056728,8.181100994619916,-5.30716394986875
2017-01-06,-1.5051692488493214,-3.4883119353186487,-1.9941053052778084,10.528492366424816,-10.727098434730665,0.33703304862283306,-8.566731212758452,-9.136767243287172,6.961716930921177,-4.781908463775405
2017-01-07,-3.651505839671641,-5.889272258488655,-5.6647748053946305,6.7624484132847344,-9.074984170855508,2.518064764066001,-5.234894236462291,-6.216848221332329,9.361542986740337,-1.7506744203382831
2017-01-08,-6.510458913313,-6.712534601809033,-6.669230420804349,2.495200670595467,-7.579633090968567,5.437101204402176,-2.3114940213879662,-0.6824705447768172,13.9264944995923,1.5386205146624714
2017-01-09,-6.473358437301463,-5.778835818515424,-4.557433613175637,6.965798332662045,-1.7395531994228126,14.36951096645543,2.6789480581059286,2.2161382794152633,11.564942358372683,2.3077901395608476
2017-01-10,2.484748559240203,0.9771809910399654,2.226683115667948,13.765730455262428,3.6651304276044607,20.99002626916053,7.526975457207401,-0.4662527546797691,10.644919053357066,1.524955622203458
2017-01-11,4.581704902702795,5.0782690681090985,7.687008456869029,19.237215952245823,5.2358168971555115,23.281838502043303,10.782941194273787,-0.8945433136750027,10.176427907608817,-1.0735121992328327
2017-01-12,8.200765448642674,9.379298284677795,15.421701937404144,22.361685694664548,4.091873154910795,23.184074450442896,2.297088593347295,-2.3893248749895513,8.203624470990526,-2.51361859378986
2017-01-13,7.4602739148951684,6.547194812532784,10.41721740543749,21.391507895942407,-3.5733451002747194,18.0608915413304,-2.3862785651557754,-1.3776929661544004,8.628765348153735,-2.3129434491727334
2017-01-14,-2.066887103987474,-0.7845666708950421,3.0628859943639046,19.464080658832717,-1.4421238680360442,16.452590120355865,0.6961167218381052,-0.7344190962204343,9.177698303271155,-2.0358172992523174
2017-01-15,-0.5294732685375396,0.7673401340540901,4.760203774445273,19.871381757913596,0.006532077804328493,17.023420651540505,0.7017289647376006,-1.1676066085939931,8.506061916243517,-1.8523682400766301
2017-01-16,1.2277009572057906,2.022864503478898,5.237589754620124,20.44109872327741,4.256887374448893,18.23019162267918,5.880855566154028,-2.1053801316348104,9.200420708226172,-1.1784631231885554
2017-01-17,3.0408492707965666,3.2876259819929348,9.022789652316622,22.029428177343764,6.9728624700808375,14.448932995741679,5.233218625998906,-0.18146935136859574,9.994733071650026,1.261299901331354
2017-01-18,2.721915638849717,3.3755667723062013,9.087295507806816,20.819304150141058,5.080845600303267,15.560583002898916,7.718082087077818,1.4927093046390718,8.76486758858375,3.4000770620059564
2017-01-19,3.9497777557406386,5.174595544606737,8.347111915298203,20.414070054993328,5.849384670262489,18.269047111955395,10.46095476944097,1.4627863559424508,8.272391238241852,3.0535859486575054
2017-01-20,3.4185655168635996,4.803983292604003,7.90627739277406,22.662323558866017,9.407282936926322,19.820613226274794,12.263350041907152,0.10178461138486404,7.519174409674424,2.8212414171926565
2017-01-21,6.053745176673671,9.767147762246143,14.00100988741675,22.044574138708033,11.800189866729246,19.855798983401595,12.422848629070138,-0.17070509046685464,7.702268581499226,2.922269158450802
2017-01-22,5.449122922070677,9.142635060331372,12.588210075896553,21.858872089105873,9.935218791846076,15.139085057204365,8.57504711118612,-0.762569944943174,7.537703769480465,2.9467838350628544
2017-01-23,2.5947794572411413,4.911642956232928,8.522547916742234,16.300323902271423,6.349449822818076,17.064128312127167,6.936659262381804,0.8251353788071825,7.148105995392734,2.572897357212468
2017-01-24,4.439663620562947,2.066049382522787,5.151289487161744,16.21440126913314,5.181719583840526,20.31480491289931,7.518977601951215,-2.8005182727804385,7.030993799703783,1.5861744207320585
2017-01-25,3.3643207367504697,4.781370631720784,11.022961407741596,19.925772926656766,6.026958922261333,14.88636421899082,4.472753655205805,-5.069660937623851,6.413015413133733,1.3523317748876726
2017-01-26,5.516543513981943,5.941927181632277,9.645052791530244,17.526104225167856,2.4986506702118305,9.652553070765961,1.9447135429698805,-5.531253883654219,7.545560161921306,1.8431251534756516
2017-01-27,3.0205409101040694,2.105669090405426,2.75348095802047,10.00042141059086,0.25036480611019685,8.578859208910094,2.810799382253732,-3.629643045699268,7.544565811472974,1.7272338982834947
2017-01-28,2.263808789342284,1.7965386359340247,3.168216544805568,8.488475168844339,0.8216192510594232,10.362645392019354,3.8002611097435195,-0.8357280657572157,9.548772377246586,2.6169381734691655
2017-01-29,2.8568863091557457,1.1916815094910207,2.454750323078672,9.549247366849139,-1.132187719077188,14.884079143210942,5.392257564075303,1.781178972326107,11.432199604894038,2.8813073084869245
2017-01-30,0.7483441433824782,-1.0130332849087569,0.9970982915257665,10.907452342602745,0.19748546018432714,18.76810707635294,10.358642652207632,2.9945962753601387,12.857478428950332,3.3535270498372918
2017-01-31,-0.8006921471271274,0.2821699850183792,5.419521841222073,17.34924769241497,3.2169819717931207,19.71239406198337,8.47421001179874,2.856032798815274,12.895758675199858,1.81905513731427
2017-02-01,1.7148456936981264,2.1137188150369783,6.002972121495868,19.646122286597297,1.5580502313375177,20.382987557522355,4.160874070039774,-0.20255609479096115,12.55146802588184,-0.050401701586678546
2017-02-02,1.4235017434153205,0.9018051709864652,4.214675336003542,17.914093858394146,-3.7386344125808018,13.391056248922292,-1.5689844184834731,-3.202312866136639,11.401837330029927,-0.6025021433162476
2017-02-03,-1.7247688463815771,-2.8191008709820844,-0.5188159011945221,14.558572777846528,-4.735432155557003,9.160647671609839,-0.610842882524495,-1.0334994777624158,11.703727082058357,1.341866732630908
2017-02-04,-1.9344515925842347,-1.7311189779542917,0.8469969963661464,11.087257345281213,-0.0995121502323906,13.440761031348794,5.09682473260841,1.9722433529969328,12.153119646171936,3.370070657765246
2017-02-05,2.6826596134121257,1.5902344496476237,5.108564228701182,15.384264508932713,2.1318169061117547,22.14471239786823,7.242433151626447,2.255418190247265,12.501211450433109,3.686570967575591
2017-02-06,0.7036967060278896,2.2467114713059764,9.06875958699009,20.107011972314726,6.755483783022527,25.69817613059693,15.677908538155073,2.6616366701323733,11.308269459205276,3.396444169465857
2017-02-07,2.2293346242769925,5.17976024845525,14.01953577301541,22.12552349954417,9.610603835110222,24.424729326909613,12.129829208345155,2.2876913180006238,13.779190936864016,3.0702993757864445
2017-02-08,8.399748591595149,8.691404740557884,13.813047149273261,24.122989480905453,1.6964122619790463,23.6169144457172,0.3115817755956287,1.0027402462123232,15.063668130421535,3.1324924303478436
2017-02-09,-0.03591475133455467,-0.414155009560745,5.645172123190155,17.084922647617805,-4.704923672098153,15.86572695928163,1.1163995162435114,5.762354711062814,16.543695120772256,5.276511773086396
2017-02-10,-6.229233699061571,-2.955804758021393,0.7844731897820031,13.63498035178464,3.5159669303720165,23.79245466614583,14.578554265661474,8.60782570113236,14.322621299361312,4.379003099410402
2017-02-11,0.8226809846531167,3.042734645887965,9.684509243662498,21.57545687891452,8.789302027368045,28.96912950932243,16.16119925754191,5.970253928564427,12.843066573483858,2.5177314313887047
2017-02-12,1.3784492268721769,1.8263972847589391,11.051721870948962,24.55642196791183,6.823528305975649,23.047982243966203,9.414483587943797,1.9913960259059453,13.033974991268632,2.6339825327630626
2017-02-13,0.2936658226615702,0.46295949558144556,4.945558551601243,17.386121703803493,4.250205095853599,14.867771468098933,7.585405365399333,2.114367513875845,12.809561213291166,2.7908784950895003
2017-02-14,-0.33289758374521994,1.806914625585918,6.270481434471801,18.5543865878184,6.211025735703386,12.377476193331802,9.441262109285807,1.2451575502568464,13.924520741678934,3.320054238649356
2017-02-15,2.0469648483981118,2.611562448527162,5.373882388338254,16.654742370241877,1.0588325678349382,12.672408959765455,6.95114303947371,3.891156928895446,13.460752674048296,4.476137046582183
2017-02-16,0.3041266102376581,-0.3089484932200786,1.44595024625678,12.650673022535083,3.8827583763888325,16.187512017540325,15.19536402593624,6.545192122031022,12.741789776397047,5.433273698367873
