calculationType,calculationTypeId,category,categoryId,categoryName,confidenceIntervalDisplay,confidenceIntervalHigh,confidenceIntervalHighName,confidenceIntervalLow,confidenceIntervalLowName,confidenceIntervalName,dailyMax,dailyMaxDisplay,dailyMin,dailyMinDisplay,dataValue,descriptiveValue,descriptiveValueName,displayValue,geo,geoAbbreviation,geoId,geographicTypeId,groupById,hatching,hatchingId,hottestTemp,hottestTempDescription,id,includeDescriptiveValueName,minimumTemporal,minimumTemporalId,noDataBreakGroup,noDataId,parentGeo,parentGeoAbbreviation,parentGeoId,parentGeographicTypeId,parentMinimumTemporal,parentMinimumTemporalId,parentTemporal,parentTemporalId,parentTemporalType,parentTemporalTypeId,reportDate,reportDateString,rollover,secondaryValue,secondaryValueDisplay,secondaryValueName,standardError,standardErrorDisplay,standardErrorName,suppressionFlag,temporal,temporalColumnName,temporalDescription,temporalId,temporalRollingColumnName,temporalTypeId,title,yearlyMax,yearlyMaxDisplay
Temperature,,,0,,,,,,,,89.1,89.1°F,0.0,,89.1,,,89.1°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),594109993,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-05-30,05/30/2022,"['Report Date: 05/30/2022', 'Temperature: 89.1°F', 'Maximum Heat Index for Date (1979-2021): 99.0°F']",,,,,,,0,20220530,ReportDate,Date,20220530,RollingCount,10,"Autauga, AL",99.0,99.0°F
Temperature,,,0,,,,,,,,94.5,94.5°F,0.0,,94.5,,,94.5°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),513260368,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-05-31,05/31/2022,"['Report Date: 05/31/2022', 'Temperature: 94.5°F', 'Maximum Heat Index for Date (1979-2021): 100.7°F']",,,,,,,0,20220531,ReportDate,Date,20220531,RollingCount,10,"Autauga, AL",100.7,100.7°F
Temperature,,,0,,,,,,,,96.3,96.3°F,0.0,,96.3,,,96.3°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),610284273,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-01,06/01/2022,"['Report Date: 06/01/2022', 'Temperature: 96.3°F', 'Maximum Heat Index for Date (1979-2021): 108.0°F']",,,,,,,0,20220601,ReportDate,Date,20220601,RollingCount,10,"Autauga, AL",108.0,108.0°F
Temperature,,,0,,,,,,,,97.1,97.1°F,0.0,,97.1,,,97.1°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),554159753,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-02,06/02/2022,"['Report Date: 06/02/2022', 'Temperature: 97.1°F', 'Maximum Heat Index for Date (1979-2021): 107.0°F']",,,,,,,0,20220602,ReportDate,Date,20220602,RollingCount,10,"Autauga, AL",107.0,107.0°F
Temperature,,,0,,,,,,,,92.0,92.0°F,0.0,,92.0,,,92.0°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),546697522,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-03,06/03/2022,"['Report Date: 06/03/2022', 'Temperature: 92.0°F', 'Maximum Heat Index for Date (1979-2021): 106.8°F']",,,,,,,0,20220603,ReportDate,Date,20220603,RollingCount,10,"Autauga, AL",106.8,106.8°F
Temperature,,,0,,,,,,,,91.2,91.2°F,0.0,,91.2,,,91.2°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),554563723,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-04,06/04/2022,"['Report Date: 06/04/2022', 'Temperature: 91.2°F', 'Maximum Heat Index for Date (1979-2021): 107.6°F']",,,,,,,0,20220604,ReportDate,Date,20220604,RollingCount,10,"Autauga, AL",107.6,107.6°F
Temperature,,,0,,,,,,,,93.7,93.7°F,0.0,,93.7,,,93.7°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),562851560,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-05,06/05/2022,"['Report Date: 06/05/2022', 'Temperature: 93.7°F', 'Maximum Heat Index for Date (1979-2021): 106.2°F']",,,,,,,0,20220605,ReportDate,Date,20220605,RollingCount,10,"Autauga, AL",106.2,106.2°F
Temperature,,,0,,,,,,,,96.8,96.8°F,0.0,,96.8,,,96.8°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),566446222,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-06,06/06/2022,"['Report Date: 06/06/2022', 'Temperature: 96.8°F', 'Maximum Heat Index for Date (1979-2021): 108.9°F']",,,,,,,0,20220606,ReportDate,Date,20220606,RollingCount,10,"Autauga, AL",108.9,108.9°F
Temperature,,,0,,,,,,,,99.8,99.8°F,0.0,,99.8,,,99.8°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),541069907,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-07,06/07/2022,"['Report Date: 06/07/2022', 'Temperature: 99.8°F', 'Maximum Heat Index for Date (1979-2021): 102.7°F']",,,,,,,0,20220607,ReportDate,Date,20220607,RollingCount,10,"Autauga, AL",102.7,102.7°F
Temperature,,,0,,,,,,,,99.2,99.2°F,0.0,,99.2,,,99.2°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),606727784,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-08,06/08/2022,"['Report Date: 06/08/2022', 'Temperature: 99.2°F', 'Maximum Heat Index for Date (1979-2021): 102.9°F']",,,,,,,0,20220608,ReportDate,Date,20220608,RollingCount,10,"Autauga, AL",102.9,102.9°F
Temperature,,,0,,,,,,,,98.6,98.6°F,0.0,,98.6,,,98.6°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),588410427,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-09,06/09/2022,"['Report Date: 06/09/2022', 'Temperature: 98.6°F', 'Maximum Heat Index for Date (1979-2021): 103.5°F']",,,,,,,0,20220609,ReportDate,Date,20220609,RollingCount,10,"Autauga, AL",103.5,103.5°F
Temperature,,,0,,,,,,,,95.9,95.9°F,0.0,,95.9,,,95.9°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),594483263,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-10,06/10/2022,"['Report Date: 06/10/2022', 'Temperature: 95.9°F', 'Maximum Heat Index for Date (1979-2021): 104.5°F']",,,,,,,0,20220610,ReportDate,Date,20220610,RollingCount,10,"Autauga, AL",104.5,104.5°F
Temperature,,,0,,,,,,,,95.1,95.1°F,0.0,,95.1,,,95.1°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),517756322,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-11,06/11/2022,"['Report Date: 06/11/2022', 'Temperature: 95.1°F', 'Maximum Heat Index for Date (1979-2021): 102.6°F']",,,,,,,0,20220611,ReportDate,Date,20220611,RollingCount,10,"Autauga, AL",102.6,102.6°F
Temperature,,,0,,,,,,,,103.0,103.0°F,0.0,,103.0,,,103.0°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),570267052,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-12,06/12/2022,"['Report Date: 06/12/2022', 'Temperature: 103.0°F', 'Maximum Heat Index for Date (1979-2021): 106.1°F']",,,,,,,0,20220612,ReportDate,Date,20220612,RollingCount,10,"Autauga, AL",106.1,106.1°F
Temperature,,,0,,,,,,,,110.9,110.9°F,0.0,,110.9,,,110.9°F,Autauga,CountyAbbreviation,01001,2,1,,-1,True,Hottest Heat Index for Date (1979-2021),537383575,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-13,06/13/2022,"['Report Date: 06/13/2022', 'Temperature: 110.9°F', 'Maximum Heat Index for Date (1979-2021): 110.9°F', 'Hottest Heat Index for Date (1979-2021)']",,,,,,,0,20220613,ReportDate,Date,20220613,RollingCount,10,"Autauga, AL",110.9,110.9°F
Temperature,,,0,,,,,,,,108.2,108.2°F,0.0,,108.2,,,108.2°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),573538134,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-14,06/14/2022,"['Report Date: 06/14/2022', 'Temperature: 108.2°F', 'Maximum Heat Index for Date (1979-2021): 108.8°F']",,,,,,,0,20220614,ReportDate,Date,20220614,RollingCount,10,"Autauga, AL",108.8,108.8°F
Temperature,,,0,,,,,,,,112.5,112.5°F,0.0,,112.5,,,112.5°F,Autauga,CountyAbbreviation,01001,2,1,,-1,True,Hottest Heat Index for Date (1979-2021),528729730,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-15,06/15/2022,"['Report Date: 06/15/2022', 'Temperature: 112.5°F', 'Maximum Heat Index for Date (1979-2021): 112.5°F', 'Hottest Heat Index for Date (1979-2021)']",,,,,,,0,20220615,ReportDate,Date,20220615,RollingCount,10,"Autauga, AL",112.5,112.5°F
Temperature,,,0,,,,,,,,111.1,111.1°F,0.0,,111.1,,,111.1°F,Autauga,CountyAbbreviation,01001,2,1,,-1,True,Hottest Heat Index for Date (1979-2021),593939679,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-16,06/16/2022,"['Report Date: 06/16/2022', 'Temperature: 111.1°F', 'Maximum Heat Index for Date (1979-2021): 111.1°F', 'Hottest Heat Index for Date (1979-2021)']",,,,,,,0,20220616,ReportDate,Date,20220616,RollingCount,10,"Autauga, AL",111.1,111.1°F
Temperature,,,0,,,,,,,,111.3,111.3°F,0.0,,111.3,,,111.3°F,Autauga,CountyAbbreviation,01001,2,1,,-1,True,Hottest Heat Index for Date (1979-2021),546634588,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-17,06/17/2022,"['Report Date: 06/17/2022', 'Temperature: 111.3°F', 'Maximum Heat Index for Date (1979-2021): 111.3°F', 'Hottest Heat Index for Date (1979-2021)']",,,,,,,0,20220617,ReportDate,Date,20220617,RollingCount,10,"Autauga, AL",111.3,111.3°F
Temperature,,,0,,,,,,,,110.6,110.6°F,0.0,,110.6,,,110.6°F,Autauga,CountyAbbreviation,01001,2,1,,-1,True,Hottest Heat Index for Date (1979-2021),567951290,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-18,06/18/2022,"['Report Date: 06/18/2022', 'Temperature: 110.6°F', 'Maximum Heat Index for Date (1979-2021): 110.6°F', 'Hottest Heat Index for Date (1979-2021)']",,,,,,,0,20220618,ReportDate,Date,20220618,RollingCount,10,"Autauga, AL",110.6,110.6°F
Temperature,,,0,,,,,,,,92.8,92.8°F,0.0,,92.8,,,92.8°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),598225027,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-19,06/19/2022,"['Report Date: 06/19/2022', 'Temperature: 92.8°F', 'Maximum Heat Index for Date (1979-2021): 106.7°F']",,,,,,,0,20220619,ReportDate,Date,20220619,RollingCount,10,"Autauga, AL",106.7,106.7°F
Temperature,,,0,,,,,,,,102.9,102.9°F,0.0,,102.9,,,102.9°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),571523856,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-20,06/20/2022,"['Report Date: 06/20/2022', 'Temperature: 102.9°F', 'Maximum Heat Index for Date (1979-2021): 109.4°F']",,,,,,,0,20220620,ReportDate,Date,20220620,RollingCount,10,"Autauga, AL",109.4,109.4°F
Temperature,,,0,,,,,,,,103.7,103.7°F,0.0,,103.7,,,103.7°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),609199220,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-21,06/21/2022,"['Report Date: 06/21/2022', 'Temperature: 103.7°F', 'Maximum Heat Index for Date (1979-2021): 111.1°F']",,,,,,,0,20220621,ReportDate,Date,20220621,RollingCount,10,"Autauga, AL",111.1,111.1°F
Temperature,,,0,,,,,,,,107.8,107.8°F,0.0,,107.8,,,107.8°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),583876305,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-22,06/22/2022,"['Report Date: 06/22/2022', 'Temperature: 107.8°F', 'Maximum Heat Index for Date (1979-2021): 109.9°F']",,,,,,,0,20220622,ReportDate,Date,20220622,RollingCount,10,"Autauga, AL",109.9,109.9°F
Temperature,,,0,,,,,,,,105.1,105.1°F,0.0,,105.1,,,105.1°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),539066388,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-23,06/23/2022,"['Report Date: 06/23/2022', 'Temperature: 105.1°F', 'Maximum Heat Index for Date (1979-2021): 106.6°F']",,,,,,,0,20220623,ReportDate,Date,20220623,RollingCount,10,"Autauga, AL",106.6,106.6°F
Temperature,,,0,,,,,,,,101.6,101.6°F,0.0,,101.6,,,101.6°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),591479337,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-24,06/24/2022,"['Report Date: 06/24/2022', 'Temperature: 101.6°F', 'Maximum Heat Index for Date (1979-2021): 107.6°F']",,,,,,,0,20220624,ReportDate,Date,20220624,RollingCount,10,"Autauga, AL",107.6,107.6°F
Temperature,,,0,,,,,,,,102.7,102.7°F,0.0,,102.7,,,102.7°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),547623356,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-25,06/25/2022,"['Report Date: 06/25/2022', 'Temperature: 102.7°F', 'Maximum Heat Index for Date (1979-2021): 107.4°F']",,,,,,,0,20220625,ReportDate,Date,20220625,RollingCount,10,"Autauga, AL",107.4,107.4°F
Temperature,,,0,,,,,,,,99.2,99.2°F,0.0,,99.2,,,99.2°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),587525849,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-26,06/26/2022,"['Report Date: 06/26/2022', 'Temperature: 99.2°F', 'Maximum Heat Index for Date (1979-2021): 104.8°F']",,,,,,,0,20220626,ReportDate,Date,20220626,RollingCount,10,"Autauga, AL",104.8,104.8°F
Temperature,,,0,,,,,,,,97.3,97.3°F,0.0,,97.3,,,97.3°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),520708443,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-27,06/27/2022,"['Report Date: 06/27/2022', 'Temperature: 97.3°F', 'Maximum Heat Index for Date (1979-2021): 109.4°F']",,,,,,,0,20220627,ReportDate,Date,20220627,RollingCount,10,"Autauga, AL",109.4,109.4°F
Temperature,,,0,,,,,,,,98.9,98.9°F,0.0,,98.9,,,98.9°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),560694312,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-28,06/28/2022,"['Report Date: 06/28/2022', 'Temperature: 98.9°F', 'Maximum Heat Index for Date (1979-2021): 111.3°F']",,,,,,,0,20220628,ReportDate,Date,20220628,RollingCount,10,"Autauga, AL",111.3,111.3°F
Temperature,,,0,,,,,,,,99.2,99.2°F,0.0,,99.2,,,99.2°F,Autauga,CountyAbbreviation,01001,2,1,,-1,False,Hottest Heat Index for Date (1979-2021),600734347,,,,0,-1,Alabama,AL,01,1,,,2022,2022,Year,1,2022-06-29,06/29/2022,"['Report Date: 06/29/2022', 'Temperature: 99.2°F', 'Maximum Heat Index for Date (1979-2021): 109.0°F']",,,,,,,0,20220629,ReportDate,Date,20220629,RollingCount,10,"Autauga, AL",109.0,109.0°F
