"","lags","Region.1","Region.2","Region.3","Region.4","Region.5","Region.6","Region.7","Region.8","Region.9","Region.10"
"1",-29,0.0127812440433731,-0.0082295829189252,0.00619997743439968,-0.0296913915027468,-0.0437127443191279,0.00664891608601076,-0.013318728242202,-0.00459813888942111,-0.00451050106268233,0.0314704522948422
"2",-28,0.00860974738286231,-0.0182665190400031,-0.00668943158939846,-0.0125506348442033,-0.0690751907710782,0.00631485267834837,-0.0262478401421271,0.00993229832363926,-0.00692496303668573,0.0473357882568584
"3",-27,-0.0143151110701688,-0.0131831652486419,-0.00385050401925879,0.00706140284831942,-0.0773751284854811,0.0122301143151362,-0.0332687952814803,0.0131570917548158,-0.00317494429058802,0.0631272928637703
"4",-26,-0.0552247181681974,-0.0290874051069538,-0.00573860395970096,0.0189974725919909,-0.0811553455023459,0.0201357873898952,-0.0455184468761046,0.00971420150714653,0.00127161904309225,0.0657017284668593
"5",-25,-0.0788379406986165,-0.0485477121232341,-0.0154022864870324,0.018920185970905,-0.0869333456261303,0.0247676688567568,-0.0505744374731751,-0.00835633374533058,0.0154954219891415,0.0494819141368949
"6",-24,-0.0446147173668974,-0.042085512504224,-0.0286804258065996,0.0128148336478432,-0.07591804786142,0.0180340203877779,-0.0344866119983429,-0.0198898958921055,0.0332463026081537,0.0283336440136995
"7",-23,0.000180164244455901,-0.0335523968113777,-0.0181124509202356,0.00964081659605133,-0.059577102640811,0.00566290135401451,-0.0145891466115828,-0.0280549860692482,0.0418699538932108,0.0195993250219682
"8",-22,0.00509739358932417,-0.0410541432144158,-0.0333376377605463,0.00418200165564387,-0.0419106181516048,-0.00198841939861388,0.00605077368744518,-0.0400037226624239,0.0396394634533444,0.0284433478341338
"9",-21,-0.00845322414016536,-0.0419654383021708,-0.0465452658660232,-0.00580940231714996,-0.0299420415566935,-0.0132545300208729,0.00960122984597177,-0.0354868071993137,0.0376703900509979,0.0419635786677809
"10",-20,-0.0232373602681398,-0.0443605235511659,-0.0534504862253057,-0.0105435681050422,-0.021884776544028,-0.0186051671342694,0.0220391056621208,-0.0210299387285915,0.0340881696806225,0.0395779164909691
"11",-19,-0.00931403877580147,-0.0510094921905361,-0.053368011678097,-0.0143983079012192,-0.0110419853533304,-0.0216980192095255,0.0337344369213288,-6.6714273241422e-06,0.0325969533389846,0.0237741893054701
"12",-18,0.00744604280771626,-0.029284778668684,-0.0391211689674522,-0.0182286867836204,0.00198743517528073,-0.0191522786862865,0.0304665851348994,0.00896088140901541,0.0359124413279576,0.0111498474362745
"13",-17,0.0153329648347572,-0.00261090951751425,-0.0124693832187211,-0.0250103818596981,0.0282798373702087,-0.00546263824506816,0.023380111551639,0.00245881828096264,0.0283893485735394,0.00951249875513498
"14",-16,0.015394498585678,0.0223557632128412,0.0127368981457543,-0.0187978402500412,0.0498553970949303,-0.00217402995502984,0.0120421155851562,0.000835157854069537,0.0162462613779494,0.017750153581298
"15",-15,0.024744771951734,0.0387201048902862,0.0318957640536704,-0.0105081565710832,0.0462939039492909,0.000262011187748535,0.00104753073309072,-0.0114272768208131,0.0128068415101722,0.0286564664031132
"16",-14,0.0305006492325681,0.0471653316578321,0.0409310565631147,-0.0135608229119142,0.0220508667243853,-0.0036975992855435,-0.0122192437097258,-0.0200948719877643,0.0197828143137053,0.0385144130989763
"17",-13,0.0381196233869988,0.0477322500292439,0.0461730942836209,-0.00991655902682577,-0.0156852444075861,-0.00494368761184036,-0.0237313241148046,-0.00579336017979894,0.0375261594280999,0.0496210659392739
"18",-12,0.0217422708282858,0.0333721303429275,0.0399266675433129,-0.00559425455609275,-0.0375703609422128,-0.00259302785997847,-0.032745848209031,0.0034733891799834,0.042490641161006,0.0614074959349974
"19",-11,0.00460628905985593,0.0175875349998684,0.0280450884162411,-0.000621709585873622,-0.0318146248702309,0.00448002197577434,-0.0434551437182961,-0.0130686428809658,0.0399236618242968,0.062003802605689
"20",-10,-0.00231817442610648,0.0243517341797072,0.00941806557323178,0.000230666880994146,-0.0170610285999624,0.00637486537000964,-0.0515214670870764,-0.0150688946758149,0.0327224884584317,0.0538678779816558
"21",-9,-0.00878733146601966,0.0115139330597103,-0.0162918876323148,0.00525920483853397,-0.0104918660947161,0.00242940715520988,-0.0555401886255866,-0.00533913305531445,0.0296029234966042,0.0575608066116844
"22",-8,-0.000668877572918505,-0.010384031159211,-0.0364292184070507,0.0107826295464585,-0.0144478826039723,0.00656917631854433,-0.0500133822969005,0.0035442955477312,0.0236298996848563,0.0607236860706621
"23",-7,0.00121511457366333,-0.0304634586739188,-0.0527008488721777,0.0159217132130458,-0.0283218510421633,0.00883558361423943,-0.0262571657999244,0.00972276633578371,0.021996749795674,0.0616918393821268
"24",-6,-0.0252472204052409,-0.0464751690864721,-0.0604774180490013,0.0306591115295857,-0.0372543598495855,0.0182670546541809,-0.00433478172282018,0.0214525914649336,0.0281535142614439,0.0749507584634494
"25",-5,-0.0461178270975239,-0.06732063170217,-0.0569266628675807,0.0454689816608826,-0.0317017740089548,0.0411676133767572,0.013864895764685,0.0450491146761709,0.0438220190770007,0.096106801867596
"26",-4,-0.0443271083123703,-0.0699976329666545,-0.0493786502937976,0.0747587596880185,-0.0122060212829859,0.0710894318275718,0.0415267518956,0.0597733021428645,0.0692306355564568,0.11661605677377
"27",-3,-0.0051541024147325,-0.0302353507428251,-0.00549297008310281,0.123418970800605,0.0347530717151929,0.116831252659971,0.0827973478168824,0.0709803113911259,0.113457625818678,0.15303486515046
"28",-2,0.102760548369786,0.0589290699828047,0.110072449069629,0.204621797400448,0.131896777656467,0.169466275073245,0.163173160887945,0.128889198009334,0.192989362124311,0.204612868853417
"29",-1,0.267676594172931,0.216753514080673,0.267527644044114,0.301465723931307,0.278879387752935,0.243734443837914,0.295082760360306,0.222863574312097,0.295779565006719,0.272142129568753
"30",0,0.403554008368799,0.359407800423552,0.395287275825504,0.359176055815357,0.397703814484495,0.298708039523804,0.382726758505287,0.276039761276931,0.36864543702687,0.315254243677096
"31",1,0.330194065469725,0.319203071900974,0.33581481535105,0.330691542354492,0.371446358407559,0.269826931850565,0.307558452579991,0.223914714861433,0.352549369132695,0.278220584590112
"32",2,0.192661407694425,0.191035258480656,0.202037311960557,0.251774620255231,0.265628176173421,0.217297811197645,0.208032389902295,0.137259248499307,0.272860187843717,0.205644080880744
"33",3,0.0869751008861145,0.0841466597400768,0.0915089726320137,0.174510513671024,0.157765060148683,0.170660988377101,0.147232628540328,0.0729749073870341,0.179405851957887,0.143133120503942
"34",4,0.0232913724891595,0.00333832622681702,0.0217881263443126,0.121359004869067,0.0872803609567457,0.135349610456782,0.114287283859187,0.0451310130746796,0.0980067733071578,0.104221254663233
"35",5,-0.0205664717170829,-0.0518749123246273,-0.014489259321125,0.0927732563043355,0.0460285989156827,0.113389569667533,0.0820975061318796,0.0372187617768454,0.045909850332963,0.0868775516806425
"36",6,-0.0375380540721429,-0.0724157654936826,-0.0383781780298541,0.0805505242047343,0.00860915417901059,0.0947521592152512,0.0510569277505058,0.0226075419094798,0.0196653289929463,0.0880070434383306
"37",7,-0.0452540510634632,-0.0692514164367151,-0.0472142919367189,0.0718328404864851,-0.0217490633064628,0.0662272737317816,0.033569935701043,0.0141337144196828,-0.0062914420912626,0.0846162566391201
"38",8,-0.0253385069597326,-0.0390395375544395,-0.0234601963765247,0.0644139643810353,-0.0357670751134016,0.0359895360820105,0.00944227383547221,0.00872445658427984,-0.030751992009773,0.070710802685339
"39",9,-0.0106553358751026,0.0122911862639507,0.00570199895990958,0.048092812699237,-0.0268399391942662,0.0183665625652488,-0.00776303574773976,0.0148466516232296,-0.0350122109387086,0.0633196761361451
"40",10,-0.0110469066083618,0.0279930915915418,0.0391870846000617,0.0362019861762789,-0.0183080487102575,0.0218384763135658,-0.0173903418066389,0.0163881278380313,-0.020840828333475,0.0619936991366993
"41",11,-0.0222481562989057,0.0142232363637305,0.0430472774921304,0.0213228327045949,-0.0298963256914385,0.0381603847703024,-0.0242111321047182,-0.000356362353168677,-0.00564658188797266,0.052800192633673
"42",12,-0.0402742572811027,-0.0189657641191924,0.0162628193557673,0.0147358424637566,-0.046037679165516,0.0455747205881881,-0.0185758193834396,-0.00716467310237952,0.0083281219804226,0.0368447651453324
"43",13,-0.0197651248740313,-0.0290118050160788,-0.008857405867172,0.0153803130834608,-0.0343130881535796,0.0399995161137228,-0.0148755999174414,0.00421568543159356,0.0170614103338406,0.0314230853142044
