,1,2,3,4,5,6,7,8,9,10
2017-01-01,38.24354092327047,36.680830952126506,43.63301315771616,65.39984729709455,36.12946933450998,67.67790871249719,41.65328044754209,29.15527800289076,47.36601877997868,31.188512961266976
2017-01-02,36.71832746118925,37.39781683916378,43.48748990221036,73.31928348838922,43.46031848123767,68.1226732905549,48.717745113768906,29.25699335700134,43.94701173541648,28.01936384121738
2017-01-03,39.963291538613504,39.61823482944125,44.9410540945966,71.82941365926023,41.88327687485659,62.66423903600057,40.35016927011576,24.03146390612165,49.37415998244438,24.75680377178044
2017-01-04,41.00324399360064,40.24854809986159,46.77330090496555,61.532449087043474,26.832379979089374,46.78841444436466,20.71533010340625,24.101301074156595,50.315666938894616,23.96095592148491
2017-01-05,32.378041107981026,28.421181069321683,32.97242242502428,54.28426791710404,14.694539900596052,47.016877971374335,15.317866522827355,18.31009320309789,46.72598179031585,22.44710489023625
2017-01-06,29.29069535207122,25.721038516426432,28.410610450499945,50.95128625956467,12.691222817484803,32.6066594875211,16.579883817034787,15.553818962083092,44.53109047565812,23.39256476520427
2017-01-07,25.427289488591047,21.39930993472042,21.803405350289665,44.17240714391252,15.665028492460085,36.5325165753188,22.577190374367877,20.809673201601807,48.850777376132605,28.84878604339109
2017-01-08,20.2811739560366,19.91743771674374,19.99538524255217,36.49136120707184,18.35666043625658,41.78678216792392,27.83931076150166,30.77155301940173,57.06769009926614,34.76951692639245
2017-01-09,20.347954812857367,21.598095526672235,23.796619496283853,44.53843699879168,28.868804241038937,57.86511973961977,36.82210650459067,35.989048902947474,52.81689624507083,36.154022251209526
2017-01-10,36.472547406632366,33.75892578387194,36.00802960820231,56.77831481947237,38.59723476968803,69.78204728448895,45.54855582297332,31.160745041576416,51.16085429604272,34.744920119966224
2017-01-11,40.24706882486503,41.14088432259638,45.83661522236425,66.62698871404248,41.42447041487992,73.90730930367795,51.40929414969282,30.389822035384995,50.31757023369587,30.0676780413809
2017-01-12,46.76137780755681,48.88273691242003,59.75906348732746,72.25103425039619,39.36537167883943,73.73133401079721,36.13475946802513,27.699215225018808,46.766524047782944,27.47548653117825
2017-01-13,45.428493046811305,43.78495066255901,50.75099132978748,70.50471421269633,25.567978819505505,64.50960477439472,27.704698582719605,29.52015266092208,47.53177762667672,27.83670179148908
2017-01-14,28.279603212822547,30.587779992388924,37.51319478985503,67.03534518589889,29.40417703753512,61.61466221664055,33.25301009930859,30.67804562680322,48.51985694588808,28.33552886134583
2017-01-15,31.04694811663243,33.38121224129736,40.56836679400149,67.76848716424448,32.01175774004779,62.64215717277291,33.26311213652768,29.898308104530813,47.31091144923833,28.665737167862066
2017-01-16,34.20986172297042,35.64115610626202,41.427661558316224,68.79397770189934,39.66239727400801,64.81434492082252,42.58554001907725,28.21031576305734,48.56075727480711,29.8787663782606
2017-01-17,37.47352868743382,37.91772676758728,48.24102137416992,71.65297071921877,44.55115244614551,58.00807939233502,41.41979352679803,31.673355167536528,49.99051952897005,34.27033982239644
2017-01-18,36.89944814992949,38.07602019015116,48.35713191405227,69.4747474702539,41.14552208054588,60.00904940521805,45.89254775674007,34.68687674835033,47.77676165945075,38.12013871161072
2017-01-19,39.10959996033315,41.314271980292126,47.02480144753677,68.74532609898799,42.52889240647248,64.88428480151971,50.82971858499375,34.63301544069641,46.89030422883533,37.49645470758351
2017-01-20,38.15341793035448,40.647169926687205,46.23129930699331,72.79218240595883,48.93310928646738,67.67710380729463,54.07403007543287,32.183212300492755,45.53451393741396,37.07823455094678
2017-01-21,42.89674131801261,49.58086597204306,57.20181779735015,71.68023344967446,53.24034176011264,67.74043817012287,54.36112753232625,31.69273083715966,45.86408344669861,37.26008448521144
2017-01-22,41.80842125972722,48.45674310859647,54.6587781366138,71.34596976039057,49.88339382532293,59.25035310296786,47.435084800135016,30.627374099102287,45.56786678506484,37.30421090311314
2017-01-23,36.670603023034055,40.84095732121927,47.34058625013602,61.34058302408856,43.429009681072536,62.7154309618289,44.48598667228725,33.48524368185293,44.86659079170692,36.63121524298244
2017-01-24,39.991394517013305,35.71888888854102,41.27232107689114,61.185922284439656,41.32709525091295,68.56664884321876,45.534159683512186,26.95906710899521,44.65578883946681,34.855113957317705
2017-01-25,38.055777326150846,40.60646713709741,51.84133053393487,67.86639126798218,42.8485260600704,58.79545559418348,40.05095657937045,22.874610312277067,43.54342774364072,34.43419719479781
2017-01-26,41.9297783251675,42.6954689269381,49.36109502475444,63.546987605302135,36.497571206381295,49.37459552737873,35.500484377345785,22.043743009422407,45.58200829145835,35.31762527625617
2017-01-27,37.436973638187325,35.79020436272977,36.95626572443685,50.00075853906355,32.450656650998354,47.44194657603817,37.05943888805672,25.466642517741317,45.58021846065135,35.10902101691029
2017-01-28,36.07485582081611,35.233769544681245,37.70278978065002,47.27925530391981,33.47891465190696,50.65276170563484,38.840469997538335,30.49568948163701,49.18779027904385,36.7104887122445
2017-01-29,37.14239535648034,34.14502671708384,36.41855058154161,49.18864526032845,29.96206210566106,58.79134245777969,41.706063615335545,35.20612215018699,52.57795928880927,37.186353155276464
2017-01-30,33.34701945808846,30.176540087164238,33.79477692474638,51.63341421668494,32.35547382833179,65.7825927374353,50.64555677397374,37.39027329564825,55.1434611721106,38.036348689707125
2017-01-31,30.55875413517117,32.50790597303308,41.75513931419973,63.22864584634694,37.79056754922762,67.48230931157006,47.25357802123773,37.14085903786749,55.212365615359744,35.274299247165686
2017-02-01,35.08672224865663,35.80469386706656,42.80534981869256,67.36302011587513,34.80449041640753,68.68937760354024,39.48957332607159,31.63539902937627,54.59264244658731,31.90927693714398
2017-02-02,34.56230313814758,33.62324930777564,39.586415604806376,64.24536894510946,25.270458057354556,56.103901248060126,29.175828046729748,26.23583684095405,52.52330719405387,30.915496142030754
